address,number,street,unit,city,state,zip,latitude,longitude,residential_proof,nearest_parcel_land_use,distance_m,parcel_id
"3409 BRANDONBURY WAY, Columbus, OH, 43232",3409,BRANDONBURY WAY,,Columbus,OH,43232,39.9064542,-82.8726913,nearest parcel (within 19m) LANDUSE 510,510,19.3,180-005157
"4892 WYMORE DR, Columbus, OH, 43232",4892,WYMORE DR,,Columbus,OH,43232,39.9058397,-82.8702356,nearest parcel (within 23m) LANDUSE 510,510,23.1,180-003451
"3624 TORWOOD RD, Columbus, OH, 43232",3624,TORWOOD RD,,Columbus,OH,43232,39.9031562,-82.8624366,nearest parcel (within 12m) LANDUSE 510,510,11.7,180-003220
"4636 WINCHESTER PIKE, Columbus, OH, 43232",4636,WINCHESTER PIKE,,Columbus,OH,43232,39.8988314,-82.8785742,nearest parcel (within 25m) LANDUSE 510,510,25.4,180-004733
"4640 WINCHESTER PIKE, Columbus, OH, 43232",4640,WINCHESTER PIKE,,Columbus,OH,43232,39.8982295,-82.877769,nearest parcel (within 33m) LANDUSE 510,510,33.4,180-000536
"5200 RUTLEDGE DR S, Columbus, OH, 43232",5200,RUTLEDGE DR S,,Columbus,OH,43232,39.9131372,-82.8586813,nearest parcel (within 17m) LANDUSE 510,510,17.2,180-004218
"3191 BENHAM CT, Columbus, OH, 43232",3191,BENHAM CT,,Columbus,OH,43232,39.9114602,-82.8632107,nearest parcel (within 21m) LANDUSE 510,510,21.0,180-004059
"3421 LATONIA RD, Columbus, OH, 43232",3421,LATONIA RD,,Columbus,OH,43232,39.9073848,-82.8618348,nearest parcel (within 38m) LANDUSE 510,510,38.2,180-003700
"3163 WINCHESTER PIKE, Columbus, OH, 43232",3163,WINCHESTER PIKE,,Columbus,OH,43232,39.9095254,-82.9036,nearest parcel (within 47m) LANDUSE 511,511,46.6,180-000939
"3632 TORWOOD RD, Columbus, OH, 43232",3632,TORWOOD RD,,Columbus,OH,43232,39.902995,-82.8625249,nearest parcel (within 17m) LANDUSE 510,510,16.9,180-003221
"4714 WINCHESTER PIKE, Columbus, OH, 43232",4714,WINCHESTER PIKE,,Columbus,OH,43232,39.8970026,-82.8749467,nearest parcel (within 15m) LANDUSE 510,510,14.9,180-001232
"5198 OLDE CAPE N, Columbus, OH, 43232",5198,OLDE CAPE N,,Columbus,OH,43232,39.9077232,-82.8617724,nearest parcel (within 22m) LANDUSE 510,510,21.5,180-004180
"4744 WINCHESTER PIKE, Columbus, OH, 43232",4744,WINCHESTER PIKE,,Columbus,OH,43232,39.8963821,-82.873703,nearest parcel (within 30m) LANDUSE 510,510,29.9,180-001234
"5200 OLDE CAPE N, Columbus, OH, 43232",5200,OLDE CAPE N,,Columbus,OH,43232,39.9077778,-82.8616943,nearest parcel (within 13m) LANDUSE 510,510,13.0,180-004180
"3461 LATONIA RD, Columbus, OH, 43232",3461,LATONIA RD,,Columbus,OH,43232,39.9067198,-82.8623233,nearest parcel (within 24m) LANDUSE 510,510,23.9,180-003696
"3640 TORWOOD RD, Columbus, OH, 43232",3640,TORWOOD RD,,Columbus,OH,43232,39.9027613,-82.8627375,nearest parcel (within 15m) LANDUSE 510,510,14.6,180-003225
"5365 NEWPORT RD, Columbus, OH, 43232",5365,NEWPORT RD,,Columbus,OH,43232,39.9038657,-82.8589721,nearest parcel (within 2m) LANDUSE 510,510,2.3,180-002532
"5320 WADE RD, Columbus, OH, 43232",5320,WADE RD,,Columbus,OH,43232,39.9004753,-82.8616706,nearest parcel (within 19m) LANDUSE 510,510,18.9,180-002722
"4638 WINCHESTER PIKE, Columbus, OH, 43232",4638,WINCHESTER PIKE,,Columbus,OH,43232,39.8986645,-82.8782347,nearest parcel (within 15m) LANDUSE 510,510,14.7,180-004733
"5000 WINCHESTER PIKE, Columbus, OH, 43232",5000,WINCHESTER PIKE,,Columbus,OH,43232,39.8924619,-82.8665577,nearest parcel (within 51m) LANDUSE 511,511,50.9,180-000087
"3033 WINCHESTER PIKE, Columbus, OH, 43232",3033,WINCHESTER PIKE,,Columbus,OH,43232,39.9115989,-82.9081216,nearest parcel (within 5m) LANDUSE 510,510,5.0,180-001271
"3410 WINCHESTER PIKE, Columbus, OH, 43232",3410,WINCHESTER PIKE,,Columbus,OH,43232,39.9077808,-82.8988667,nearest parcel (within 24m) LANDUSE 510,510,24.5,530-244850
"4491 GERLING BLVD, Columbus, OH, 43232",4491,GERLING BLVD,,Columbus,OH,43232,39.9094046,-82.8827383,nearest parcel (within 8m) LANDUSE 510,510,8.4,180-000330
"3434 WINCHESTER PIKE, Columbus, OH, 43232",3434,WINCHESTER PIKE,,Columbus,OH,43232,39.9076345,-82.8986056,nearest parcel (within 35m) LANDUSE 510,510,35.5,180-000897
"5047 CHATTERTON RD, Columbus, OH, 43232",5047,CHATTERTON RD,,Columbus,OH,43232,39.9148635,-82.8609076,nearest parcel (within 60m) LANDUSE 510,510,59.9,180-004306
"3099 WINCHESTER PIKE, Columbus, OH, 43232",3099,WINCHESTER PIKE,,Columbus,OH,43232,39.9100857,-82.9051005,nearest parcel (within 11m) LANDUSE 510,510,10.9,180-001280
"4616 WINCHESTER PIKE, Columbus, OH, 43232",4616,WINCHESTER PIKE,,Columbus,OH,43232,39.8997793,-82.8803579,nearest parcel (within 19m) LANDUSE 510,510,18.9,180-001221
"4628 WINCHESTER PIKE, Columbus, OH, 43232",4628,WINCHESTER PIKE,,Columbus,OH,43232,39.8991987,-82.8792641,nearest parcel (within 25m) LANDUSE 510,510,25.2,180-001224
"3451 LATONIA RD, Columbus, OH, 43232",3451,LATONIA RD,,Columbus,OH,43232,39.9069503,-82.8622781,nearest parcel (within 37m) LANDUSE 510,510,37.2,180-003697
"4590 GLENGATE DR, Columbus, OH, 43232",4590,GLENGATE DR,,Columbus,OH,43232,39.904495,-82.8786834,nearest parcel (within 10m) LANDUSE 510,510,10.5,180-003582
"5264 TUXWORTH DR, Columbus, OH, 43232",5264,TUXWORTH DR,,Columbus,OH,43232,39.9139791,-82.8561117,nearest parcel (within 13m) LANDUSE 510,510,13.4,180-004319
"5206 OLDE CAPE N, Columbus, OH, 43232",5206,OLDE CAPE N,,Columbus,OH,43232,39.9075616,-82.8615898,nearest parcel (within 28m) LANDUSE 510,510,28.3,180-004180
"5040 CHATTERTON RD APT 4, Columbus, OH, 43232",5040,CHATTERTON RD,APT 4,Columbus,OH,43232,39.9157914,-82.8607128,nearest parcel (within 38m) LANDUSE 510,510,37.9,260-000390
"3399 BRANDONBURY WAY, Columbus, OH, 43232",3399,BRANDONBURY WAY,,Columbus,OH,43232,39.9066593,-82.8727067,nearest parcel (within 18m) LANDUSE 510,510,17.7,180-005158
"3409 LATONIA DR, Columbus, OH, 43232",3409,LATONIA DR,,Columbus,OH,43232,39.9075688,-82.861465,nearest parcel (within 26m) LANDUSE 510,510,26.0,180-003702
"3441 LATONIA RD, Columbus, OH, 43232",3441,LATONIA RD,,Columbus,OH,43232,39.9070528,-82.8619721,nearest parcel (within 25m) LANDUSE 510,510,25.3,180-003699
"3435 LATONIA RD, Columbus, OH, 43232",3435,LATONIA RD,,Columbus,OH,43232,39.9072014,-82.8620442,nearest parcel (within 39m) LANDUSE 510,510,38.8,180-003699
"3400 BRANDONBURY WAY, Columbus, OH, 43232",3400,BRANDONBURY WAY,,Columbus,OH,43232,39.9067162,-82.8723077,nearest parcel (within 7m) LANDUSE 510,510,7.3,180-005178
"3560 TORWOOD RD, Columbus, OH, 43232",3560,TORWOOD RD,,Columbus,OH,43232,39.9044645,-82.862725,nearest parcel (within 13m) LANDUSE 510,510,13.0,180-003236
"3295 WINCHESTER PIKE, Columbus, OH, 43232",3295,WINCHESTER PIKE,,Columbus,OH,43232,39.9086513,-82.9022546,nearest parcel (within 5m) LANDUSE 511,511,5.3,180-000511
"5144 TUXWORTH CT, Columbus, OH, 43232",5144,TUXWORTH CT,,Columbus,OH,43232,39.9148261,-82.8586044,nearest parcel (within 9m) LANDUSE 510,510,8.7,260-000513
"3554 TORWOOD RD, Columbus, OH, 43232",3554,TORWOOD RD,,Columbus,OH,43232,39.9045998,-82.8628006,nearest parcel (within 13m) LANDUSE 510,510,12.8,180-003237
"5168 OLDE CAPE N, Columbus, OH, 43232",5168,OLDE CAPE N,,Columbus,OH,43232,39.9080067,-82.8620662,nearest parcel (within 24m) LANDUSE 510,510,23.8,180-004178
"5100 TREMAINE CT, Columbus, OH, 43232",5100,TREMAINE CT,,Columbus,OH,43232,39.9060706,-82.864701,nearest parcel (within 27m) LANDUSE 510,510,26.7,180-003309
"3616 TORWOOD RD, Columbus, OH, 43232",3616,TORWOOD RD,,Columbus,OH,43232,39.9033215,-82.8624054,nearest parcel (within 11m) LANDUSE 510,510,11.4,180-003219
"5188 OLDE CAPE N, Columbus, OH, 43232",5188,OLDE CAPE N,,Columbus,OH,43232,39.9078317,-82.861773,nearest parcel (within 17m) LANDUSE 510,510,17.4,180-004179
"3600 TORWOOD RD, Columbus, OH, 43232",3600,TORWOOD RD,,Columbus,OH,43232,39.9036476,-82.8624106,nearest parcel (within 15m) LANDUSE 510,510,15.1,180-003217
"3007 WINCHESTER PIKE, Columbus, OH, 43232",3007,WINCHESTER PIKE,,Columbus,OH,43232,39.9121688,-82.9092942,nearest parcel (within 24m) LANDUSE 510,510,23.6,180-001268
"5190 OLDE CAPE N, Columbus, OH, 43232",5190,OLDE CAPE N,,Columbus,OH,43232,39.9077774,-82.8618369,nearest parcel (within 25m) LANDUSE 510,510,24.8,180-004180
"5164 OLDE CAPE N, Columbus, OH, 43232",5164,OLDE CAPE N,,Columbus,OH,43232,39.9078914,-82.862169,nearest parcel (within 39m) LANDUSE 510,510,39.0,180-004178
"3417 BRANDONBURY WAY, Columbus, OH, 43232",3417,BRANDONBURY WAY,,Columbus,OH,43232,39.9063015,-82.8727119,nearest parcel (within 18m) LANDUSE 510,510,18.5,180-005156
"4680 WINCHESTER PIKE, Columbus, OH, 43232",4680,WINCHESTER PIKE,,Columbus,OH,43232,39.8974825,-82.8761504,nearest parcel (within 30m) LANDUSE 510,510,30.0,180-001229
"3065 WINCHESTER PIKE, Columbus, OH, 43232",3065,WINCHESTER PIKE,,Columbus,OH,43232,39.9107917,-82.9065697,nearest parcel (within 10m) LANDUSE 510,510,9.8,180-001276
"3047 WINCHESTER PIKE, Columbus, OH, 43232",3047,WINCHESTER PIKE,,Columbus,OH,43232,39.911261,-82.9074815,nearest parcel (within 9m) LANDUSE 510,510,9.4,180-001273
"3392 BRANDONBURY WAY, Columbus, OH, 43232",3392,BRANDONBURY WAY,,Columbus,OH,43232,39.9069173,-82.872348,nearest parcel (within 5m) LANDUSE 510,510,4.8,180-005177
"5040 CHATTERTON RD APT 11, Columbus, OH, 43232",5040,CHATTERTON RD,APT 11,Columbus,OH,43232,39.9157914,-82.8607128,nearest parcel (within 38m) LANDUSE 510,510,37.9,260-000390
"3772 BEACHWORTH DR, Columbus, OH, 43232",3772,BEACHWORTH DR,,Columbus,OH,43232,39.9065505,-82.8789014,nearest parcel (within 11m) LANDUSE 520,520,10.8,180-004862
"3433 LATONIA RD, Columbus, OH, 43232",3433,LATONIA RD,,Columbus,OH,43232,39.9071678,-82.8619834,nearest parcel (within 32m) LANDUSE 510,510,32.4,180-003699
"2979 BRICE RD, Columbus, OH, 43232",2979,BRICE RD,,Columbus,OH,43232,39.9175327,-82.8324821,nearest parcel (within 8m) LANDUSE 510,510,7.9,264-000045
"4503 GERLING BLVD, Columbus, OH, 43232",4503,GERLING BLVD,,Columbus,OH,43232,39.9093973,-82.8824246,nearest parcel (within 9m) LANDUSE 510,510,9.0,180-000294
"3001 WINCHESTER PIKE, Columbus, OH, 43232",3001,WINCHESTER PIKE,,Columbus,OH,43232,39.9123575,-82.9096625,nearest parcel (within 17m) LANDUSE 510,510,17.0,180-001267
"3459 LATONIA RD, Columbus, OH, 43232",3459,LATONIA RD,,Columbus,OH,43232,39.906754,-82.8622771,nearest parcel (within 24m) LANDUSE 510,510,24.5,180-003696
"4539 HARBOR BLVD, Columbus, OH, 43232",4539,HARBOR BLVD,,Columbus,OH,43232,39.9038068,-82.8801875,nearest parcel (within 9m) LANDUSE 520,520,9.0,180-002846
"3380 BRANDONBURY WAY, Columbus, OH, 43232",3380,BRANDONBURY WAY,,Columbus,OH,43232,39.9070439,-82.8723487,nearest parcel (within 11m) LANDUSE 510,510,10.8,180-005177
"3115 WINCHESTER PIKE, Columbus, OH, 43232",3115,WINCHESTER PIKE,,Columbus,OH,43232,39.9088027,-82.9044335,nearest parcel (within 23m) LANDUSE 510,510,23.3,180-001711
"5588 SEDALIA DR, Columbus, OH, 43232",5588,SEDALIA DR,,Columbus,OH,43232,39.9067739,-82.8624091,nearest parcel (within 33m) LANDUSE 510,510,33.3,180-003696
"3566 TORWOOD RD, Columbus, OH, 43232",3566,TORWOOD RD,,Columbus,OH,43232,39.9042869,-82.8626278,nearest parcel (within 17m) LANDUSE 510,510,16.7,180-003235
"3447 LATONIA RD, Columbus, OH, 43232",3447,LATONIA RD,,Columbus,OH,43232,39.9069778,-82.8621642,nearest parcel (within 32m) LANDUSE 510,510,31.6,180-003698
"3079 WINCHESTER PIKE, Columbus, OH, 43232",3079,WINCHESTER PIKE,,Columbus,OH,43232,39.9105462,-82.9060336,nearest parcel (within 10m) LANDUSE 510,510,9.6,180-001277
"5582 SEDALIA DR, Columbus, OH, 43232",5582,SEDALIA DR,,Columbus,OH,43232,39.9068605,-82.8628052,nearest parcel (within 59m) LANDUSE 510,510,58.7,180-003162
"3425 LATONIA RD, Columbus, OH, 43232",3425,LATONIA RD,,Columbus,OH,43232,39.9072967,-82.8618415,nearest parcel (within 32m) LANDUSE 510,510,31.8,180-003700
"5586 SEDALIA DR, Columbus, OH, 43232",5586,SEDALIA DR,,Columbus,OH,43232,39.9067194,-82.8624552,nearest parcel (within 33m) LANDUSE 510,510,32.7,180-003696
"3428 BRANDONBURY WAY, Columbus, OH, 43232",3428,BRANDONBURY WAY,,Columbus,OH,43232,39.9061499,-82.8723047,nearest parcel (within 5m) LANDUSE 510,510,5.2,180-005181
"5204 OLDE CAPE N, Columbus, OH, 43232",5204,OLDE CAPE N,,Columbus,OH,43232,39.9076226,-82.8615438,nearest parcel (within 21m) LANDUSE 510,510,21.3,180-004180
"5172 OLDE CAPE N, Columbus, OH, 43232",5172,OLDE CAPE N,,Columbus,OH,43232,39.9079395,-82.8619589,nearest parcel (within 21m) LANDUSE 510,510,21.5,180-004179
"3006 UPTON RD E, Columbus, OH, 43232",3006,UPTON RD E,,Columbus,OH,43232,39.9158008,-82.856474,nearest parcel (within 13m) LANDUSE 510,510,13.0,260-000290
"3408 BRANDONBURY WAY, Columbus, OH, 43232",3408,BRANDONBURY WAY,,Columbus,OH,43232,39.9065524,-82.8722855,nearest parcel (within 6m) LANDUSE 510,510,5.8,180-005179
"5166 OLDE CAPE N, Columbus, OH, 43232",5166,OLDE CAPE N,,Columbus,OH,43232,39.9079525,-82.8621087,nearest parcel (within 31m) LANDUSE 510,510,30.6,180-004178
"3085 WINCHESTER PIKE, Columbus, OH, 43232",3085,WINCHESTER PIKE,,Columbus,OH,43232,39.9103793,-82.9057153,nearest parcel (within 10m) LANDUSE 510,510,9.5,180-001278
"3419 LATONIA RD, Columbus, OH, 43232",3419,LATONIA RD,,Columbus,OH,43232,39.907351,-82.8617812,nearest parcel (within 32m) LANDUSE 510,510,32.4,180-003700
"3511 TORWOOD RD, Columbus, OH, 43232",3511,TORWOOD RD,,Columbus,OH,43232,39.9048385,-82.863643,nearest parcel (within 18m) LANDUSE 510,510,18.2,180-003247
