number,street,unit,census_status,street_residential_signal
3421,OLDE CAPE W,,Match,0/1
5190,OLDE CAPE N,,Match,0/1
5164,OLDE CAPE N,,Match,0/1
5181,OLDE CAPE N,,Match,0/1
4680,WINCHESTER PIKE,,Match,4/13
3065,WINCHESTER PIKE,,Match,4/13
3047,WINCHESTER PIKE,,Match,4/13
4462,WINCHESTER PIKE,,Match,4/13
3451,WINCHESTER PIKE,,Match,4/13
3423,OLDE CAPE W,,Match,0/1
3433,OLDE CAPE W,,Match,0/1
5042,CHATTERTON RD,APT 12,Match,0/12
5040,CHATTERTON RD,APT 11,Match,0/12
0,MADELINE RD,,No_Match,1/2
3772,BEACHWORTH DR,,No_Match,22/31
5005,CHATTERTON RD,,Match,0/12
3427,OLDE CAPE W,,Match,0/1
5564,SEDALIA DR,,No_Match,48/57
3373,WINCHESTER PIKE,,Match,4/13
3435,OLDE CAPE W,,Match,0/1
2979,BRICE RD,,No_Match,177/386
5558,SEDALIA DR,,No_Match,48/57
4503,GERLING BLVD,,Match,0/0
3001,WINCHESTER PIKE,,Match,4/13
4539,HARBOR BLVD,,Match,0/0
3425,OLDE CAPE E,,Match,0/1
5183,OLDE CAPE N,,Match,0/1
3115,WINCHESTER PIKE,,Match,4/13
3403,OLDE CAPE W,,Match,0/1
3421,OLDE CAPE E,,Match,0/1
5588,SEDALIA DR,,No_Match,48/57
3566,TORWOOD RD,,Match,1/1
1750,IDLEWILD RD,,Match,0/0
5000,CHATTERTON RD,APT 10,Match,0/12
3079,WINCHESTER PIKE,,Match,4/13
5578,SEDALIA DR,,No_Match,48/57
5582,SEDALIA DR,,No_Match,48/57
3419,OLDE CAPE W,,Match,0/1
3403,OLDE CAPE E,,Match,0/1
5586,SEDALIA DR,,No_Match,48/57
5204,OLDE CAPE N,,Match,0/1
5172,OLDE CAPE N,,Match,0/1
3006,UPTON RD E,,Match,0/0
5166,OLDE CAPE N,,Match,0/1
3085,WINCHESTER PIKE,,Match,4/13
3511,TORWOOD RD,,Match,1/1
3608,TORWOOD RD,,Match,1/1
4990,CHATTERTON RD,APT 2,Match,0/12
5008,CHATTERTON RD,APT 12,Match,0/12
5054,CHATTERTON RD,APT 11,Match,0/12
5054,CHATTERTON RD,APT 1,Match,0/12
5026,CHATTERTON RD,APT 8,Match,0/12
3448,WINCHESTER PIKE,,Match,4/13
5091,SEDALIA RD,,Match,0/1
3441,WINCHESTER PIKE,,Match,4/13
5552,SEDALIA DR,,No_Match,48/57
3601,WATKINS RD,,Match,111/161
3574,TORWOOD RD,,Match,1/1
3407,OLDE CAPE W,,Match,0/1
3533,TORWOOD RD,,Match,1/1
5590,SEDALIA DR,,No_Match,48/57
3417,OLDE CAPE E,,Match,0/1
5026,CHATTERTON RD,APT 11,Match,0/12
5024,CHATTERTON RD,APT 8,Match,0/12
4990,CHATTERTON RD,APT 8,Match,0/12
5040,CHATTERTON RD,APT 9,Match,0/12
5008,CHATTERTON RD,APT 4,Match,0/12
5016,CHATTERTON RD,APT 6,Match,0/12
5042,CHATTERTON RD,APT 7,Match,0/12
5024,CHATTERTON RD,APT 2,Match,0/12
5020,CHATTERTON RD,APT 3,Match,0/12
5024,CHATTERTON RD,APT 11,Match,0/12
0,HARBOR BLVD,,No_Match,0/0
5054,CHATTERTON RD,APT 8,Match,0/12
5016,CHATTERTON RD,APT 7,Match,0/12
5000,CHATTERTON RD,APT 2,Match,0/12
5054,CHATTERTON RD,APT 2,Match,0/12
5042,CHATTERTON RD,APT 5,Match,0/12
5024,CHATTERTON RD,APT 7,Match,0/12
5026,CHATTERTON RD,APT 5,Match,0/12
5026,CHATTERTON RD,APT 12,Match,0/12
5042,CHATTERTON RD,APT 8,Match,0/12
5040,CHATTERTON RD,APT 7,Match,0/12
5020,CHATTERTON RD,APT 9,Match,0/12
5026,CHATTERTON RD,APT 7,Match,0/12
5020,CHATTERTON RD,APT 6,Match,0/12
5042,CHATTERTON RD,APT 1,Match,0/12
5042,CHATTERTON RD,APT 4,Match,0/12
5024,CHATTERTON RD,APT 9,Match,0/12
5020,CHATTERTON RD,APT 10,Match,0/12
4996,CHATTERTON RD,APT 10,Match,0/12
4996,CHATTERTON RD,APT 5,Match,0/12
5020,CHATTERTON RD,APT 1,Match,0/12
5040,CHATTERTON RD,APT 3,Match,0/12
5040,CHATTERTON RD,APT 5,Match,0/12
5024,CHATTERTON RD,APT 12,Match,0/12
5024,CHATTERTON RD,APT 6,Match,0/12
5000,CHATTERTON RD,APT 3,Match,0/12
5000,CHATTERTON RD,APT 4,Match,0/12
4996,CHATTERTON RD,APT 12,Match,0/12
4996,CHATTERTON RD,APT 3,Match,0/12
5042,CHATTERTON RD,APT 6,Match,0/12
4513,GERLING BLVD,,Match,0/0
5026,CHATTERTON RD,APT 6,Match,0/12
0,GERLING BLVD,,No_Match,0/0
5040,CHATTERTON RD,APT 8,Match,0/12
4990,CHATTERTON RD,APT 1,Match,0/12
4996,CHATTERTON RD,APT 4,Match,0/12
5016,CHATTERTON RD,APT 12,Match,0/12
4211,WINCHESTER PIKE,,Match,4/13
4215,WINCHESTER PIKE,,Match,4/13
0,S HAMILTON RD,,No_Match,242/753
4194,WINCHESTER PIKE,,Match,4/13
5024,CHATTERTON RD,APT 5,Match,0/12
5042,CHATTERTON RD,APT 10,Match,0/12
5026,CHATTERTON RD,APT 1,Match,0/12
5054,CHATTERTON RD,APT 6,Match,0/12
5020,CHATTERTON RD,APT 11,Match,0/12
5042,CHATTERTON RD,APT 2,Match,0/12
5054,CHATTERTON RD,APT 4,Match,0/12
4996,CHATTERTON RD,APT 6,Match,0/12
5016,CHATTERTON RD,APT 11,Match,0/12
4996,CHATTERTON RD,APT 8,Match,0/12
5008,CHATTERTON RD,APT 9,Match,0/12
5008,CHATTERTON RD,APT 2,Match,0/12
5026,CHATTERTON RD,APT 2,Match,0/12
4990,CHATTERTON RD,APT 6,Match,0/12
4990,CHATTERTON RD,APT 7,Match,0/12
5020,CHATTERTON RD,APT 2,Match,0/12
3431,OLDE CAPE E,,Match,0/1
3309,JAMES DENNIS DR,,No_Match,0/0
3303,WINCHESTER PIKE,,Match,4/13
5176,OLDE CAPE N,,Match,0/1
5574,SEDALIA DR,,No_Match,48/57
5192,OLDE CAPE N,,Match,0/1
3582,TORWOOD RD,,Match,1/1
4996,CHATTERTON RD,APT 9,Match,0/12
5016,CHATTERTON RD,APT 9,Match,0/12
5000,CHATTERTON RD,APT 1,Match,0/12
5008,CHATTERTON RD,APT 1,Match,0/12
5008,CHATTERTON RD,APT 7,Match,0/12
5016,CHATTERTON RD,APT 4,Match,0/12
5054,CHATTERTON RD,APT 10,Match,0/12
3520,TORWOOD RD,,Match,1/1
4734,WINCHESTER PIKE,,Match,4/13
3019,WINCHESTER PIKE,,Match,4/13
5572,SEDALIA DR,,No_Match,48/57
5560,SEDALIA DR,,No_Match,48/57
3599,WATKINS RD,,Match,111/161
5191,RUTLEDGE DR N,,Match,0/0
3405,OLDE CAPE W,,Match,0/1
5556,SEDALIA DR,,No_Match,48/57
5584,SEDALIA DR,,No_Match,48/57
3053,WINCHESTER PIKE,,Match,4/13
3441,OLDE CAPE W,,Match,0/1
3424,S HAMILTON RD,,Match,242/753
5576,SEDALIA DR,,No_Match,48/57
3625,TORWOOD RD,,Match,1/1
5554,SEDALIA DR,,No_Match,48/57
3193,WINCHESTER PIKE,,Match,4/13
3512,TORWOOD RD,,Match,1/1
4990,CHATTERTON RD,APT 3,Match,0/12
5016,CHATTERTON RD,APT 1,Match,0/12
5040,CHATTERTON RD,APT 12,Match,0/12
5020,CHATTERTON RD,APT 7,Match,0/12
5026,CHATTERTON RD,APT 3,Match,0/12
5042,CHATTERTON RD,APT 11,Match,0/12
4996,CHATTERTON RD,APT 11,Match,0/12
5024,CHATTERTON RD,APT 1,Match,0/12
5040,CHATTERTON RD,APT 1,Match,0/12
5054,CHATTERTON RD,APT 5,Match,0/12
5008,CHATTERTON RD,APT 5,Match,0/12
5040,CHATTERTON RD,APT 10,Match,0/12
5026,CHATTERTON RD,APT 4,Match,0/12
5000,CHATTERTON RD,APT 6,Match,0/12
5054,CHATTERTON RD,APT 9,Match,0/12
5000,CHATTERTON RD,APT 5,Match,0/12
5008,CHATTERTON RD,APT 10,Match,0/12
5016,CHATTERTON RD,APT 8,Match,0/12
3345,S HAMILTON RD,APT R,Match,242/753
4996,CHATTERTON RD,APT 2,Match,0/12
5040,CHATTERTON RD,APT 6,Match,0/12
4595,MONMOUTH CT,,Match,0/0
4657,REFUGEE RD,2H,Match,119/267
3815,KIMBERLY PKWY N,,Match,0/0
2328,RANDY CT,,Match,0/0
5415,YORKSHIRE TERRACE DR,1C,Match,0/0
4411,WINCHESTER PIKE,,Match,4/13
2620,BIRCHTREE CT,,Match,0/0
2434,SHORE BLVD W,,Match,0/0
4630,HILTON CORPORATE DR,211,Match,0/3
5484,DUNFIELD LN,1,Match,0/1
2730,TENNYSON BLVD,A,Match,0/0
5792,HIBERNIA DR,B,Match,0/1
2564,SILVER OAK DR,,Match,0/1
5145,CEDAR DR,A,Match,15/24
2279,SEVILLE AVE,,Match,0/1
2355,HUDSON BAY WAY,,Match,0/0
1289,YORKLAND RD,UNIT K,Match,23/34
2171,SOFT WIND CT,,Match,0/0
5649,CHANTRY DR,,Match,0/16
5608,TINLEY PARK,,Match,0/0
5410,YORKSHIRE TERRACE DR,C,Match,0/0
6339,MCNAUGHTEN CT,,No_Match,0/1
2419,KIMBERLY PKWY N,,Tie,0/0
3142,S HAMILTON RD,,Match,242/753
82,LITTLE BROOK WAY,,No_Match,30/31
3084,ROTUNDA CT S,,Match,0/0
2205,COURTSIDE DR,C,Match,0/2
150,CHANTRY DR,,No_Match,0/16
5621,CHANTRY DR,,Match,0/16
4255,MACSWAY AVE,,Match,0/5
5079,CEDAR DR,L,Match,15/24
4537,LAKE SIDE S,,Match,0/0
552,LITTLE BROOK WAY,,No_Match,30/31
2089,LAKE CLUB TER,I,Match,0/0
3201,WEBSTER DR,,Match,0/0
2318,RANDY CT,,Match,0/0
5555,HIBERNIA DR,,Match,0/1
5567,HIBERNIA DR,B,Match,0/1
4659,REFUGEE RD,3C,Match,119/267
4550,LAKE SIDE N,K,Match,0/0
2740,CITIZENS PL,C,Match,0/1
4669,REFUGEE RD,2I,Match,119/267
6000,LAKE CLUB CT,A,Match,0/1
4593,REFUGEE RD,3F,Match,119/267
3301,TRADAN DR,,Match,0/1
2162,SUNSHINE PL,,Match,0/1
4291,DONLYN CT,,Match,0/0
2051,LAKE CLUB TER,,Match,0/0
5419,LONSDALE PL S,UNIT D,Match,0/0
2811,BERWICK SQ,,Match,0/1
3366,TRADAN DR,,Match,0/1
2182,SUNSHINE PL,,Match,0/1
6117,MCNAUGHTEN CT,,Match,0/1
3275,SUNMARK AVE,,Match,0/0
2732,EASTLAND MALL,,Match,0/1
1745,LONSDALE PL E,,Match,0/0
2251,SUNSHINE PL,,Match,0/1
64,LITTLE BROOK WAY,,No_Match,30/31
3180,ELIM MANOR CT,104,Match,0/1
5458,CHATFORD SQ,,Match,0/1
5573,AUTUMN CHASE DR,,Match,0/1
2144,RIVERDALE SQ W,,Match,0/0
2795,GROSSE POINT,,Match,0/0
4964,COVENTRY CT S,,Match,0/0
2214,SUNSHINE PL,,Match,0/1
3153,REFUGEE RD,,Match,119/267
3675,MENDON PL,,Match,0/0
5539,CANTARA PL,4,Match,0/0
1759,CHANNINGWAY CT W,,Match,0/0
3325,WINTER LANE PARK,,Match,0/0
2318,SUNSHINE PL,,Match,0/1
5767,HALLRIDGE CIR,,Match,0/0
6137,MCNAUGHTEN CT,,Match,0/1
3634,RIVERDALE SQ,,Match,0/0
2828,WYMAN CT,,Match,0/0
3776,SOFT WIND DR,,Match,0/0
3955,MAUMEE BAY WAY,,Match,0/0
5347,YORKSHIRE VILLAGE LN,,Match,0/0
2525,FRANKSWAY ST,,Match,0/1
6157,GIOFFRE WOODS LN,,Match,0/40
5034,COVENTRY DR,D,Match,0/0
2346,RANDY CT,,Match,0/0
5605,CHANTRY DR,,Match,0/16
3669,MENDON PL,,Match,0/0
4670,FENIMORE CT,,Match,0/0
3925,KIMBERLY PKWY N,,Match,0/0
2510,KIMBERLY PKWY E,UNIT 304,Match,0/0
4611,REFUGEE RD,3D,Match,119/267
4615,REFUGEE RD,2C,Match,119/267
2830,WYMAN CT,C,Match,0/0
4609,REFUGEE RD,1K,Match,119/267
4650,HILTON CORPORATE DR,101,Match,0/3
6645,MCNAUGHTEN CT,,No_Match,0/1
538,LITTLE BROOK WAY,,No_Match,30/31
4653,HILTON CORPORATE DR,,Match,0/3
4408,CROSSROADS CENTER,,Match,0/0
3737,NOAM CT,,Match,0/0
4770,LARAINE CT,204,Match,0/0
5381,YORKSHIRE TERRACE DR,5A,Match,0/0
2813,TENNYSON BLVD,210,Match,0/0
82,CHANTRY DR,,No_Match,0/16
522,LITTLE BROOK WAY,,No_Match,30/31
4491,LAKE SIDE S,E,Match,0/0
3015,ROTUNDA CT S,,Match,0/0
5673,HIBERNIA DR,B,Match,0/1
3747,KIMBERLY WEST DR,,Tie,0/0
2714,BRANDY DR,104,Match,0/1
68,LITTLE BROOK WAY,,No_Match,30/31
470,LITTLE BROOK WAY,,No_Match,30/31
2433,SHORE BLVD E,,Match,0/0
372,CHANTRY DR,,No_Match,0/16
392,LITTLE BROOK WAY,,No_Match,30/31
5481,E LIVINGSTON AVE,UNIT A,Match,406/920
5800,HALLRIDGE CIR,,Match,0/0
3134,S HAMILTON RD,,Match,242/753
6447,MCNAUGHTEN CT,,No_Match,0/1
4520,LAKE SIDE S,B,Match,0/0
5838,HALLRIDGE CIR,,Match,0/0
5769,HALLRIDGE CIR,,Match,0/0
2587,S HAMILTON RD,,Match,242/753
5345,YORKSHIRE TERRACE DR,D,Match,0/0
3751,BIRCHTREE LN,,Match,0/0
3302,SUFFIELD,,Match,0/0
1362,IDLEWOOD DR,,No_Match,0/0
4671,REFUGEE RD,3E,Match,119/267
2776,CITIZENS PL,E,Match,0/1
1286,MCKAHAN AVE,,Match,0/28
652,CHANTRY DR,,No_Match,0/16
5576,MILLERSFIELD DR,,Match,0/1
10,CHANTRY DR,,No_Match,0/16
4575,LAKE SIDE S,C,Match,0/0
5435,LONSDALE PL N,UNIT C,Match,0/0
192,CHANTRY DR,,No_Match,0/16
168,CHANTRY DR,,No_Match,0/16
2387,MALKA CT,,Match,0/0
4300,KIMBERLY PKWY,,Match,0/1
2780,CITIZENS PL,A,Match,0/1
5415,YORKSHIRE TERRACE DR,5C,Match,0/0
5708,GREENPINE ST,,Match,0/0
4667,REFUGEE RD,2B,Match,119/267
5052,COVENTRY CT N,D,Match,0/0
5415,YORKSHIRE TERRACE DR,6B,Match,0/0
2497,SHORE BLVD E,,Match,0/0
5637,HIBERNIA DR,A,Match,0/1
8,LITTLE BROOK WAY,,No_Match,30/31
5730,HIBERNIA DR,,Match,0/1
3325,SUFFIELD,,Match,0/0
3766,KIMBERLY WEST DR,,Tie,0/0
2436,CHELSEA CT,,Match,0/0
2853,CITIZENS PL,H,Match,0/1
5653,HIBERNIA DR,A,Match,0/1
2175,MUIRWOOD DR,,Match,0/1
2226,SEVILLE AVE,,Match,0/1
310,CHANTRY DR,,No_Match,0/16
3474,COURTRIGHT LN,,Match,0/0
3973,PENNIMAN ST,,No_Match,0/1
3149,ST BERNARD CIR,,Match,0/0
5427,LONSDALE PL S,UNIT A,Match,0/0
3731,CHARBERT CT,,Match,0/0
4611,REFUGEE RD,1A,Match,119/267
258,CHANTRY DR,,No_Match,0/16
2510,KIMBERLY PKWY E,UNIT 106,Match,0/0
2735,EASTLAND MALL,,Match,0/1
1563,APPLETON CT,,Match,0/0
6767,MCNAUGHTEN CT,,No_Match,0/1
3264,WINTER LANE PARK,,Match,0/0
5684,GREENPINE ST,,Match,0/0
5585,AUTUMN CHASE DR,A,Match,0/1
4616,HEBRIDES DR,C,Match,0/0
4800,LARAINE CT,102,Match,0/0
4992,OLDE COVENTRY RD W,,Match,0/0
5356,YORKSHIRE TERRACE DR,,Match,0/0
5575,CHATTERTON RD,,Match,0/12
2340,PETZINGER CT,,Match,0/0
5123,CEDAR DR,,Match,15/24
5119,CEDAR DR,M,Match,15/24
4582,MANDEVILLE CT,C,Match,0/0
1559,BANDERA CT,,Match,0/0
3728,NOAM CT,,Match,0/0
1775,CHANNINGWAY CT W,,Match,0/0
2788,CITIZENS PL,D,Match,0/1
5119,CEDAR DR,E,Match,15/24
2788,BERWICK SQ,,Match,0/1
2580,SILVER OAK DR,,Match,0/1
6161,MCNAUGHTEN CT,,Match,0/1
5918,SHANA DR,,Match,0/1
2845,CITIZENS PL,C,Match,0/1
2281,MAJESTIC DR W,,Match,0/0
3493,COURTRIGHT LN,,Match,0/0
2087,PINE GROVE LN,,Match,0/1
6495,MCNAUGHTEN CT,,No_Match,0/1
2786,CITIZENS PL,E,Match,0/1
2141,PINE GROVE LN,,Match,0/1
4630,HILTON CORPORATE DR,104,Match,0/3
5530,DUNFIELD LN,3,Match,0/1
2543,SILVER OAK DR,,Match,0/1
298,LITTLE BROOK WAY,,No_Match,30/31
3282,TRADAN DR,,Match,0/1
4822,REFUGEE RD,C,Match,119/267
6565,MCNAUGHTEN CT,,No_Match,0/1
4185,CADILLAC CT,,Match,0/0
5681,HIBERNIA DR,,Match,0/1
4669,REFUGEE RD,2G,Match,119/267
4597,MONMOUTH CT,,Match,0/0
5792,HIBERNIA DR,,Match,0/1
646,LITTLE BROOK WAY,,No_Match,30/31
3855,BUCKMAN ST,,Match,0/0
5842,REDAPPLE RIDGE,,Match,0/0
2732,TENNYSON BLVD,,Match,0/0
2207,COURTSIDE DR,B,Match,0/2
5521,CANTARA PL,6,Match,0/0
2376,MALKA CT,,Match,0/0
5794,HALLRIDGE CIR,,Match,0/0
2901,TUPPENCE DR,,Match,0/0
2655,SILVER OAK DR,,Match,0/1
4671,REFUGEE RD,3C,Match,119/267
4789,ROLLINGBROOK LN,D,Tie,0/0
3385,WINTER LANE PARK,,Match,0/0
3249,WEBSTER DR,,Match,0/0
3312,SUFFIELD,,Match,0/0
3820,BUCKMAN ST,,Match,0/0
5700,SPRUCE TREE DR,,Match,0/0
2390,CANAL BAY WAY,,Match,0/1
5597,CHANTRY DR,,Match,0/16
4678,FENIMORE CT,D,Match,0/0
4630,HILTON CORPORATE DR,110,Match,0/3
2217,MUIRWOOD DR,,Match,0/1
238,CHANTRY DR,,No_Match,0/16
5381,YORKSHIRE TERRACE DR,2A,Match,0/0
164,CHANTRY DR,,No_Match,0/16
2720,BRANDY DR,204,Match,0/1
4573,MONMOUTH CT,212,Match,0/0
178,LITTLE BROOK WAY,,No_Match,30/31
5792,HIBERNIA DR,C,Match,0/1
4520,LAKE SIDE S,D,Match,0/0
4442,CROSSROADS CENTER,,Match,0/0
2598,SILVER OAK DR,,Match,0/1
2000,SEPICH LN,,Match,0/1
5898,SHANA DR,,Match,0/1
512,LITTLE BROOK WAY,,No_Match,30/31
16,CHANTRY DR,,No_Match,0/16
4592,LAKE SIDE N,,Match,0/0
5499,CHATFORD SQ,,Match,0/1
2912,MERRYMOUNT CT,C,Match,0/0
5330,YORKSHIRE TERRACE DR,B12,Match,0/0
2797,TENNYSON BLVD,C,Match,0/0
4271,DONLYN CT,,Match,0/0
4241,EASTLAND SQUARE DR,,Match,0/1
5121,CEDAR DR,C,Match,15/24
5624,HIBERNIA DR,C,Match,0/1
2047,PINE NEEDLE CT,,Match,0/0
6703,MCNAUGHTEN CT,,No_Match,0/1
2174,SUNSHINE PL,,Match,0/1
2853,CITIZENS PL,C,Match,0/1
1838,S HAMILTON RD,,Match,242/753
2371,SHORE BLVD E,H,Match,0/0
186,LITTLE BROOK WAY,,No_Match,30/31
3847,MAUMEE BAY WAY,,Match,0/0
3185,EASTHAVEN DR S,,Match,0/0
6033,LAKE CLUB CT,,Match,0/1
4987,COVENTRY DR,,Match,0/0
2102,LAKE CLUB TER,,Match,0/0
2855,CITIZENS PL,D,Match,0/1
2894,MERRYMOUNT CT,B,Match,0/0
4114,ALVADA ST,,Match,0/0
2744,BRANDY DR,203,Match,0/1
3747,KIMBERLY WEST DR,UNIT 5,Tie,0/0
5788,HIBERNIA DR,A,Match,0/1
5735,SPRUCE TREE DR,,Match,0/0
5934,SHANA DR,,Match,0/1
5200,CEDAR DR,D,Match,15/24
6375,MCNAUGHTEN CT,,No_Match,0/1
3760,KNIGHTSWAY LN,,Match,0/2
1567,APPLETON CT,,Match,0/0
5141,CEDAR DR,,Match,15/24
2431,KIMBERLY PKWY N,,Tie,0/0
2173,SUNSHINE PL,,Match,0/1
4627,HILTON CORPORATE DR,,Match,0/3
2244,WABASH CT W,,Match,0/0
4680,FENIMORE CT,B,Match,0/0
3346,SUFFIELD,,Match,0/0
2740,CITIZENS PL,E,Match,0/1
4599,REFUGEE RD,2A,Match,119/267
2231,COURTSIDE DR,D,Match,0/2
5687,E LIVINGSTON AVE,,Match,406/920
2627,SILVER OAK DR,,Match,0/1
4617,REFUGEE RD,1C,Match,119/267
