address,number,street,unit,city,state,zip,latitude,longitude,parcel_id,land_use_code,land_use_type,verification,homestead,year_built,bedrooms,bathrooms,appraised_value,annual_tax,sale_price,sale_date,census_match,census_matched_address
"3089 HATFIELD CT, Columbus, OH, 43232",3089,HATFIELD CT,,Columbus,OH,43232,39.913786,-82.8619715,180-004270,510,SINGLE_FAMILY,auditor_parcel,,1966,4,1,146100.00,2520.94,0,07/14/1998,Y,Exact
"3232 FAYCREST RD, Columbus, OH, 43232",3232,FAYCREST RD,,Columbus,OH,43232,39.9103763,-82.8621035,180-004107,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,136500.00,2355.3,0,04/19/2019,Y,Exact
"4761 CROSSCREEK DR, Columbus, OH, 43232",4761,CROSSCREEK DR,,Columbus,OH,43232,39.9080175,-82.8660159,180-005299,510,SINGLE_FAMILY,auditor_parcel,,1999,3,2,271700.00,4584.04,0,09/30/2003,Y,Exact
"3608 CLEARWATER DR, Columbus, OH, 43232",3608,CLEARWATER DR,,Columbus,OH,43232,39.9037061,-82.8602616,180-002689,510,SINGLE_FAMILY,auditor_parcel,Y,1963,3,1,137600.00,1787.36,0,02/22/2016,Y,Exact
"3483 TRENTON RD, Columbus, OH, 43232",3483,TRENTON RD,,Columbus,OH,43232,39.9005916,-82.8748199,180-001610,510,SINGLE_FAMILY,auditor_parcel,,1959,3,2,269800.00,4552.22,112500,12/11/1992,Y,Exact
"3491 TRENTON RD, Columbus, OH, 43232",3491,TRENTON RD,,Columbus,OH,43232,39.899992,-82.8748451,180-001608,510,SINGLE_FAMILY,auditor_parcel,,1958,3,1,252700.00,4263.5,0,07/07/1981,Y,Exact
"5270 FULLERTON DR, Columbus, OH, 43232",5270,FULLERTON DR,,Columbus,OH,43232,39.8970483,-82.8645717,180-002096,510,SINGLE_FAMILY,auditor_parcel,,1954,3,1,150200.00,2591.92,90000,04/27/2021,Y,Exact
"3641 RODELL RD, Columbus, OH, 43232",3641,RODELL RD,,Columbus,OH,43232,39.9030098,-82.8618085,180-003220,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,161300.00,2721.48,183000,11/08/2022,Y,Exact
"5227 BONITA PL, Columbus, OH, 43232",5227,BONITA PL,,Columbus,OH,43232,39.8974829,-82.8650017,180-002108,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,169900.00,2931.56,181000,09/12/2022,Y,Exact
"5091 CHIPMAN DR, Columbus, OH, 43232",5091,CHIPMAN DR,,Columbus,OH,43232,39.8984792,-82.8682325,180-002324,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,173700.00,2930.7,49505,05/20/1986,Y,Exact
"5056 CHIPMAN DR, Columbus, OH, 43232",5056,CHIPMAN DR,,Columbus,OH,43232,39.8988956,-82.8692933,180-002346,510,SINGLE_FAMILY,auditor_parcel,,1966,4,1,185000.00,3121.58,0,03/31/2004,Y,Exact
"5036 ALBANY DR, Columbus, OH, 43232",5036,ALBANY DR,,Columbus,OH,43232,39.9020505,-82.8683762,180-001937,510,SINGLE_FAMILY,auditor_parcel,,1970,3,2,159800.00,2757.56,0,12/05/2017,Y,Exact
"3650 BEECHTON RD, Columbus, OH, 43232",3650,BEECHTON RD,,Columbus,OH,43232,39.9023178,-82.8663031,180-001986,510,SINGLE_FAMILY,auditor_parcel,Y,1964,3,1,183600.00,2625.1,130000,05/06/2025,Y,Exact
"5425 COVE AVE, Columbus, OH, 43232",5425,COVE AVE,,Columbus,OH,43232,39.9021797,-82.8578584,180-002619,510,SINGLE_FAMILY,auditor_parcel,,1963,4,2,162900.00,2748.5,106000,04/05/2018,Y,Exact
"5004 BENTLER DR, Columbus, OH, 43232",5004,BENTLER DR,,Columbus,OH,43232,39.9013072,-82.869495,180-001977,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,163600.00,2760.54,158000,11/07/2022,Y,Exact
"5035 FULLERTON DR, Columbus, OH, 43232",5035,FULLERTON DR,,Columbus,OH,43232,39.8969969,-82.8705449,180-002166,510,SINGLE_FAMILY,auditor_parcel,Y,1963,3,1,159900.00,2225.5,0,09/03/2008,Y,Exact
"3656 CLEARWATER DR, Columbus, OH, 43232",3656,CLEARWATER DR,,Columbus,OH,43232,39.9027173,-82.860342,180-002683,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,160000.00,2699.82,60000,03/21/2013,Y,Exact
"5285 FULLERTON DR, Columbus, OH, 43232",5285,FULLERTON DR,,Columbus,OH,43232,39.8966551,-82.8641349,180-002137,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,151400.00,2554.7,35000,02/07/2018,Y,Exact
"3940 SIGNAL DR, Columbus, OH, 43232",3940,SIGNAL DR,,Columbus,OH,43232,39.8974541,-82.8596375,180-002442,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,165000.00,2847.28,11841500,09/09/2024,Y,Exact
"5209 FULLERTON DR, Columbus, OH, 43232",5209,FULLERTON DR,,Columbus,OH,43232,39.8967748,-82.8660851,180-002146,510,SINGLE_FAMILY,auditor_parcel,,1963,4,1,210700.00,3554.92,113000,12/07/2016,Y,Exact
"5155 ZIMMER DR, Columbus, OH, 43232",5155,ZIMMER DR,,Columbus,OH,43232,39.9031366,-82.8646571,180-003115,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,173600.00,2995.64,1172750,06/20/2023,Y,Exact
"3966 SIGNAL DR, Columbus, OH, 43232",3966,SIGNAL DR,,Columbus,OH,43232,39.8971384,-82.8596609,180-002440,510,SINGLE_FAMILY,auditor_parcel,,1966,3,2,190500.00,3214.14,250000,06/26/2025,Y,Exact
"3540 ARNSBY RD, Columbus, OH, 43232",3540,ARNSBY RD,,Columbus,OH,43232,39.9073939,-82.854727,180-001299,510,SINGLE_FAMILY,auditor_parcel,,1972,3,1,163300.00,2755.24,0,09/06/2022,Y,Exact
"3208 FAYCREST RD, Columbus, OH, 43232",3208,FAYCREST RD,,Columbus,OH,43232,39.9110347,-82.8618788,180-004111,510,SINGLE_FAMILY,auditor_parcel,,1961,3,1,154400.00,2605.34,54050,01/21/2025,Y,Exact
"3333 EVERSON RD W, Columbus, OH, 43232",3333,EVERSON RD W,,Columbus,OH,43232,39.909635,-82.8548525,180-004556,510,SINGLE_FAMILY,auditor_parcel,,1973,3,1,176600.00,2979.38,0,05/16/2025,Y,Exact
"3243 FAYCREST RD, Columbus, OH, 43232",3243,FAYCREST RD,,Columbus,OH,43232,39.9102776,-82.8625878,180-004082,510,SINGLE_FAMILY,auditor_parcel,,1966,3,1,172700.00,2913.82,0,04/23/2014,Y,Exact
"5123 BENHAM DR, Columbus, OH, 43232",5123,BENHAM DR,,Columbus,OH,43232,39.9114898,-82.8615639,180-004114,510,SINGLE_FAMILY,auditor_parcel,,1965,3,2,153900.00,2655.52,1172750,06/20/2023,Y,Exact
"3341 LATONIA CT, Columbus, OH, 43232",3341,LATONIA CT,,Columbus,OH,43232,39.9084284,-82.8614481,180-004176,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,174300.00,3007.48,26000,01/23/2009,Y,Exact
"5173 RUTLEDGE DR S, Columbus, OH, 43232",5173,RUTLEDGE DR S,,Columbus,OH,43232,39.9129355,-82.8593861,180-004292,510,SINGLE_FAMILY,auditor_parcel,,1966,3,1,160200.00,2702.7,177077,12/21/2021,Y,Exact
"5218 TUXWORTH DR, Columbus, OH, 43232",5218,TUXWORTH DR,,Columbus,OH,43232,39.9143217,-82.8570867,260-000134,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,154500.00,2736.46,80000,04/29/2002,Y,Exact
"5151 PARKLINE DR, Columbus, OH, 43232",5151,PARKLINE DR,,Columbus,OH,43232,39.9153468,-82.8577978,260-000357,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,150100.00,2716.14,35000,06/24/2008,Y,Exact
"3168 WENDOVER CT, Columbus, OH, 43232",3168,WENDOVER CT,,Columbus,OH,43232,39.9124425,-82.8531449,180-004442,510,SINGLE_FAMILY,auditor_parcel,,1971,4,2,234900.00,3963.2,250000,09/26/2022,Y,Exact
"2988 OSGOOD RD W, Columbus, OH, 43232",2988,OSGOOD RD W,,Columbus,OH,43232,39.9165947,-82.8542962,260-000235,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,163900.00,2965.84,55000,10/10/2019,Y,Exact
"5143 PARKLINE DR, Columbus, OH, 43232",5143,PARKLINE DR,,Columbus,OH,43232,39.9153976,-82.8579763,260-000358,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,165700.00,2998.4,0,07/18/2024,Y,Exact
"3159 PORTMAN RD, Columbus, OH, 43232",3159,PORTMAN RD,,Columbus,OH,43232,39.9127165,-82.8545794,180-004341,510,SINGLE_FAMILY,auditor_parcel,Y,1971,3,1,161700.00,2255.88,0,04/25/2008,Y,Exact
"3519 TORWOOD DR, Columbus, OH, 43232",3519,TORWOOD DR,,Columbus,OH,43232,39.9047248,-82.8634892,180-003246,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,168600.00,2844.9,87000,12/11/2002,Y,Non_Exact
"4495 KATHERINE RD, Columbus, OH, 43232",4495,KATHERINE RD,,Columbus,OH,43232,39.9071481,-82.8830503,180-000803,510,SINGLE_FAMILY,auditor_parcel,,,0,0,41200.00,710.84,0,09/27/1978,Y,Non_Exact
"3555 TORWOOD DR, Columbus, OH, 43232",3555,TORWOOD DR,,Columbus,OH,43232,39.9044713,-82.8631849,180-003248,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,159400.00,2689.22,85000,07/02/2015,Y,Non_Exact
"3367 S HAMILTON RD, Columbus, OH, 43232",3367,S HAMILTON RD,,Columbus,OH,43232,39.9066382,-82.8820565,180-001065,511,SINGLE_FAMILY,auditor_parcel,,1944,4,1,281100.00,4742.86,150000,06/03/2002,Y,Exact
"3364 NOE BIXBY RD, Columbus, OH, 43232",3364,NOE BIXBY RD,,Columbus,OH,43232,39.9067987,-82.8675851,180-003336,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,139200.00,2401.66,0,06/13/2016,Y,Exact
"3649 RODELL RD, Columbus, OH, 43232",3649,RODELL RD,,Columbus,OH,43232,39.9028359,-82.8618504,180-003221,510,SINGLE_FAMILY,auditor_parcel,Y,1964,3,1,183800.00,2628.46,0,12/22/2006,Y,Exact
"3811 LAGUNA DR, Columbus, OH, 43232",3811,LAGUNA DR,,Columbus,OH,43232,39.90022,-82.8590067,180-002600,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,159200.00,2686.32,75000,12/30/2009,Y,Exact
"3604 S HAMILTON RD, Columbus, OH, 43232",3604,S HAMILTON RD,,Columbus,OH,43232,39.9017504,-82.8814416,180-001215,510,SINGLE_FAMILY,auditor_parcel,,1955,4,1,265600.00,4481.36,264000,03/28/2023,Y,Exact
"4991 BENTLER DR, Columbus, OH, 43232",4991,BENTLER DR,,Columbus,OH,43232,39.9009714,-82.8698497,180-001894,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,197200.00,3327.4,0,04/05/2024,Y,Exact
"3767 GLENFIELD RD, Columbus, OH, 43232",3767,GLENFIELD RD,,Columbus,OH,43232,39.8999492,-82.8644622,180-002029,510,SINGLE_FAMILY,auditor_parcel,,1962,4,1,167600.00,2892.12,49000,11/10/2014,Y,Exact
"3721 AURELIA RD, Columbus, OH, 43232",3721,AURELIA RD,,Columbus,OH,43232,39.9008311,-82.8681096,180-001886,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,182700.00,3082.52,205500,08/15/2022,Y,Exact
"3845 ATKINSON RD, Columbus, OH, 43232",3845,ATKINSON RD,,Columbus,OH,43232,39.8989398,-82.8631168,180-002056,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,152200.00,2626.44,87000,08/20/2019,Y,Exact
"5011 BREWSTER DR, Columbus, OH, 43232",5011,BREWSTER DR,,Columbus,OH,43232,39.9001658,-82.8697242,180-002197,510,SINGLE_FAMILY,auditor_parcel,,1969,4,2,235100.00,3966.56,68000,02/25/2014,Y,Exact
"3756 AURELIA RD, Columbus, OH, 43232",3756,AURELIA RD,,Columbus,OH,43232,39.9001857,-82.8677604,180-002371,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,165000.00,2784.16,115900,08/20/2018,Y,Exact
"3818 BEECHTON RD, Columbus, OH, 43232",3818,BEECHTON RD,,Columbus,OH,43232,39.8991838,-82.8667678,180-002274,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,183400.00,3094.58,65000,01/03/2017,Y,Exact
"4970 BREWSTER DR, Columbus, OH, 43232",4970,BREWSTER DR,,Columbus,OH,43232,39.9005418,-82.870546,180-001874,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,160700.00,2711.38,95900,01/26/2017,Y,Exact
"5269 FULLERTON DR, Columbus, OH, 43232",5269,FULLERTON DR,,Columbus,OH,43232,39.8966764,-82.8645413,180-002139,510,SINGLE_FAMILY,auditor_parcel,Y,1963,3,1,153200.00,2112.72,0,12/01/1981,Y,Exact
"4596 STRATFORD LN, Columbus, OH, 43232",4596,STRATFORD LN,,Columbus,OH,43232,39.90621,-82.8745614,180-005220,510,SINGLE_FAMILY,auditor_parcel,,1996,3,2,295400.00,4984.12,154000,08/29/2018,Y,Exact
"5277 SUNDALE PL S, Columbus, OH, 43232",5277,SUNDALE PL S,,Columbus,OH,43232,39.9120261,-82.8576595,180-004393,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,190200.00,3208.82,124500,04/17/2008,Y,Exact
"4520 FLOYD DR, Columbus, OH, 43232",4520,FLOYD DR,,Columbus,OH,43232,39.9090884,-82.8820272,180-000229,510,SINGLE_FAMILY,auditor_parcel,,1930,2,1,93400.00,1611.46,123000,06/03/2025,Y,Exact
"3128 HATFIELD CT, Columbus, OH, 43232",3128,HATFIELD CT,,Columbus,OH,43232,39.9127299,-82.8618876,180-004276,510,SINGLE_FAMILY,auditor_parcel,,1966,3,1,163000.00,2812.28,130000,09/20/2023,Y,Exact
"4580 BURKESHIRE DR, Columbus, OH, 43232",4580,BURKESHIRE DR,,Columbus,OH,43232,39.9075128,-82.8748287,180-005216,510,SINGLE_FAMILY,auditor_parcel,,1996,3,2,234100.00,3949.7,0,01/11/2013,Y,Exact
"3261 FONTAINE RD, Columbus, OH, 43232",3261,FONTAINE RD,,Columbus,OH,43232,39.910791,-82.8526696,180-004514,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,150000.00,2531.08,124900,12/07/2018,Y,Exact
"5043 FULLERTON DR, Columbus, OH, 43232",5043,FULLERTON DR,,Columbus,OH,43232,39.8969785,-82.8703559,180-002165,510,SINGLE_FAMILY,auditor_parcel,,1963,3,2,191100.00,3224.26,81000,07/08/2005,Y,Exact
"4598 WALBURN RD, Columbus, OH, 43232",4598,WALBURN RD,,Columbus,OH,43232,39.9021492,-82.8737162,180-001615,510,SINGLE_FAMILY,auditor_parcel,,1959,3,1,232400.00,3921.24,285000,07/14/2021,Y,Exact
"5498 INLET DR, Columbus, OH, 43232",5498,INLET DR,,Columbus,OH,43232,39.9030422,-82.8560949,180-002548,510,SINGLE_FAMILY,auditor_parcel,,1963,3,2,184300.00,3109.54,152000,05/07/2021,Y,Exact
"3779 ATKINSON RD, Columbus, OH, 43232",3779,ATKINSON RD,,Columbus,OH,43232,39.9002757,-82.8630204,180-002048,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,145300.00,2451.56,0,01/25/2007,Y,Exact
"3479 DEMINGTON RD, Columbus, OH, 43232",3479,DEMINGTON RD,,Columbus,OH,43232,39.9054353,-82.8706683,180-003454,510,SINGLE_FAMILY,auditor_parcel,Y,1968,3,1,160500.00,2235.62,0,11/03/1975,Y,Exact
"3097 HATFIELD CT, Columbus, OH, 43232",3097,HATFIELD CT,,Columbus,OH,43232,39.9135252,-82.8623088,180-004268,510,SINGLE_FAMILY,auditor_parcel,,1965,2,2,196800.00,3320.18,137000,03/03/2020,Y,Exact
"4627 WINDRIDGE CT, Columbus, OH, 43232",4627,WINDRIDGE CT,,Columbus,OH,43232,39.9079513,-82.8739541,180-005210,510,SINGLE_FAMILY,auditor_parcel,,1996,3,2,256000.00,4319.4,120000,05/15/2015,Y,Exact
"3320 EVERSON RD E, Columbus, OH, 43232",3320,EVERSON RD E,,Columbus,OH,43232,39.9095821,-82.8533906,180-004539,510,SINGLE_FAMILY,auditor_parcel,,1971,4,1,194000.00,3273.42,85000,06/03/1999,Y,Exact
"4950 SILVERTON DR, Columbus, OH, 43232",4950,SILVERTON DR,,Columbus,OH,43232,39.9168809,-82.8621481,260-000486,510,SINGLE_FAMILY,auditor_parcel,,1969,4,2,226700.00,4102.14,1516781,12/13/2019,Y,Exact
"3901 CLEARWATER DR, Columbus, OH, 43232",3901,CLEARWATER DR,,Columbus,OH,43232,39.8981856,-82.8611205,180-002735,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,144500.00,2493.34,28500,09/05/2008,Y,Exact
"5400 NEWPORT RD, Columbus, OH, 43232",5400,NEWPORT RD,,Columbus,OH,43232,39.9041437,-82.8581929,180-002518,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,195500.00,3298.46,140000,12/10/2021,Y,Exact
"5057 HATFIELD DR, Columbus, OH, 43232",5057,HATFIELD DR,,Columbus,OH,43232,39.912358,-82.862841,180-004253,510,SINGLE_FAMILY,auditor_parcel,,1965,2,2,183700.00,3099.4,110000,08/17/2022,Y,Exact
"3650 TYLOR DR, Columbus, OH, 43232",3650,TYLOR DR,,Columbus,OH,43232,39.9029995,-82.859292,180-002563,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,158700.00,2738.34,140000,02/21/2025,Y,Exact
"3567 WYMORE PL, Columbus, OH, 43232",3567,WYMORE PL,,Columbus,OH,43232,39.9040249,-82.8664547,180-003354,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,163200.00,2815.72,73000,02/03/2021,Y,Exact
"3755 LAGUNA DR, Columbus, OH, 43232",3755,LAGUNA DR,,Columbus,OH,43232,39.900983,-82.8588823,180-002596,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,148200.00,2500.74,190000,10/07/2024,Y,Exact
"5121 SEDALIA DR, Columbus, OH, 43232",5121,SEDALIA DR,,Columbus,OH,43232,39.9069812,-82.8638289,180-003303,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,205700.00,3470.56,170000,02/02/2021,Y,Exact
"4514 GERLING BLVD, Columbus, OH, 43232",4514,GERLING BLVD,,Columbus,OH,43232,39.9096392,-82.8821586,180-000517,510,SINGLE_FAMILY,auditor_parcel,,1925,3,1,91300.00,1540.54,67500,03/25/1998,Y,Exact
"4703 HARBOR BLVD, Columbus, OH, 43232",4703,HARBOR BLVD,,Columbus,OH,43232,39.9031335,-82.8760811,180-002827,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,213100.00,3595.4,105900,12/19/2008,Y,Exact
"3987 SIGNAL DR, Columbus, OH, 43232",3987,SIGNAL DR,,Columbus,OH,43232,39.8967866,-82.8603968,180-002431,510,SINGLE_FAMILY,auditor_parcel,,1964,2,1,176700.00,2981.3,21000,04/17/2012,Y,Exact
"3889 ATKINSON RD, Columbus, OH, 43232",3889,ATKINSON RD,,Columbus,OH,43232,39.8981188,-82.8631909,180-002061,510,SINGLE_FAMILY,auditor_parcel,Y,1964,3,1,161200.00,2247.68,0,07/12/2024,Y,Exact
"3888 ARMADA RD, Columbus, OH, 43232",3888,ARMADA RD,,Columbus,OH,43232,39.8975233,-82.8712641,180-002235,510,SINGLE_FAMILY,auditor_parcel,,1963,3,2,200200.00,3377.54,205000,09/21/2021,Y,Exact
"3858 NOE BIXBY RD, Columbus, OH, 43232",3858,NOE BIXBY RD,,Columbus,OH,43232,39.8980214,-82.8721828,180-002177,510,SINGLE_FAMILY,auditor_parcel,Y,1967,3,2,196700.00,2846.34,0,04/27/2004,Y,Exact
"4932 CROSSCREEK DR, Columbus, OH, 43232",4932,CROSSCREEK DR,,Columbus,OH,43232,39.9093903,-82.8656916,180-005271,510,SINGLE_FAMILY,auditor_parcel,,1999,3,2,224700.00,3791.12,138225,10/18/1999,Y,Exact
"3021 UPTON RD E, Columbus, OH, 43232",3021,UPTON RD E,,Columbus,OH,43232,39.9155306,-82.8570323,260-000347,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,174900.00,3164.86,0,11/22/2022,Y,Non_Exact
"3683 LAGUNA DR, Columbus, OH, 43232",3683,LAGUNA DR,,Columbus,OH,43232,39.9024678,-82.8588009,180-002587,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,153100.00,2583.14,102900,02/06/2018,Y,Exact
"3391 ARNSBY RD, Columbus, OH, 43232",3391,ARNSBY RD,,Columbus,OH,43232,39.9072915,-82.8584372,180-003737,510,SINGLE_FAMILY,auditor_parcel,Y,1969,3,1,170200.00,2399.5,0,12/21/2004,Y,Exact
