tier,address,number,street,unit,city,state,zip,latitude,longitude,residential_proof,existence_proof,parcel_id,land_use_type,distance_m
A_parcel_address_match_and_census,"2928 OLIVETTE RD, Columbus, OH, 43232",2928,OLIVETTE RD,,Columbus,OH,43232,39.9172646,-82.8584245,auditor parcel 260-000321 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000321,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4954 TALFORD CT, Columbus, OH, 43232",4954,TALFORD CT,,Columbus,OH,43232,39.9045072,-82.8693516,auditor parcel 180-003497 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003497,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3127 WESTWICK RD, Columbus, OH, 43232",3127,WESTWICK RD,,Columbus,OH,43232,39.9073761,-82.9095583,auditor parcel 180-001472 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001472,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3220 FAYCREST RD, Columbus, OH, 43232",3220,FAYCREST RD,,Columbus,OH,43232,39.9107026,-82.8619519,auditor parcel 180-004109 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004109,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3261 BURDETT CT, Columbus, OH, 43232",3261,BURDETT CT,,Columbus,OH,43232,39.9101689,-82.8615142,auditor parcel 180-004142 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004142,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3361 EVERSON RD W, Columbus, OH, 43232",3361,EVERSON RD W,,Columbus,OH,43232,39.9090685,-82.8549102,auditor parcel 180-004559 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004559,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5236 TUXWORTH DR, Columbus, OH, 43232",5236,TUXWORTH DR,,Columbus,OH,43232,39.9141763,-82.8567009,auditor parcel 260-000136 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000136,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4655 GLENGATE DR, Columbus, OH, 43232",4655,GLENGATE DR,,Columbus,OH,43232,39.9040161,-82.87692,auditor parcel 180-003591 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003591,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5300 OSGOOD RD S, Columbus, OH, 43232",5300,OSGOOD RD S,,Columbus,OH,43232,39.9155317,-82.8539449,auditor parcel 260-000242 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000242,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3484 CLARETTA RD, Columbus, OH, 43232",3484,CLARETTA RD,,Columbus,OH,43232,39.9063427,-82.8604249,auditor parcel 180-003755 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003755,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3487 TRENTON RD, Columbus, OH, 43232",3487,TRENTON RD,,Columbus,OH,43232,39.9002425,-82.8748002,auditor parcel 180-001609 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001609,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3089 HATFIELD CT, Columbus, OH, 43232",3089,HATFIELD CT,,Columbus,OH,43232,39.913786,-82.8619715,auditor parcel 180-004270 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004270,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3232 FAYCREST RD, Columbus, OH, 43232",3232,FAYCREST RD,,Columbus,OH,43232,39.9103763,-82.8621035,auditor parcel 180-004107 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004107,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4761 CROSSCREEK DR, Columbus, OH, 43232",4761,CROSSCREEK DR,,Columbus,OH,43232,39.9080175,-82.8660159,auditor parcel 180-005299 (SINGLE_FAMILY),auditor parcel + census geocoder,180-005299,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3608 CLEARWATER DR, Columbus, OH, 43232",3608,CLEARWATER DR,,Columbus,OH,43232,39.9037061,-82.8602616,auditor parcel 180-002689 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002689,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3483 TRENTON RD, Columbus, OH, 43232",3483,TRENTON RD,,Columbus,OH,43232,39.9005916,-82.8748199,auditor parcel 180-001610 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001610,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3491 TRENTON RD, Columbus, OH, 43232",3491,TRENTON RD,,Columbus,OH,43232,39.899992,-82.8748451,auditor parcel 180-001608 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001608,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5270 FULLERTON DR, Columbus, OH, 43232",5270,FULLERTON DR,,Columbus,OH,43232,39.8970483,-82.8645717,auditor parcel 180-002096 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002096,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3641 RODELL RD, Columbus, OH, 43232",3641,RODELL RD,,Columbus,OH,43232,39.9030098,-82.8618085,auditor parcel 180-003220 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003220,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5227 BONITA PL, Columbus, OH, 43232",5227,BONITA PL,,Columbus,OH,43232,39.8974829,-82.8650017,auditor parcel 180-002108 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002108,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5091 CHIPMAN DR, Columbus, OH, 43232",5091,CHIPMAN DR,,Columbus,OH,43232,39.8984792,-82.8682325,auditor parcel 180-002324 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002324,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5056 CHIPMAN DR, Columbus, OH, 43232",5056,CHIPMAN DR,,Columbus,OH,43232,39.8988956,-82.8692933,auditor parcel 180-002346 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002346,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5036 ALBANY DR, Columbus, OH, 43232",5036,ALBANY DR,,Columbus,OH,43232,39.9020505,-82.8683762,auditor parcel 180-001937 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001937,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3650 BEECHTON RD, Columbus, OH, 43232",3650,BEECHTON RD,,Columbus,OH,43232,39.9023178,-82.8663031,auditor parcel 180-001986 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001986,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5425 COVE AVE, Columbus, OH, 43232",5425,COVE AVE,,Columbus,OH,43232,39.9021797,-82.8578584,auditor parcel 180-002619 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002619,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5004 BENTLER DR, Columbus, OH, 43232",5004,BENTLER DR,,Columbus,OH,43232,39.9013072,-82.869495,auditor parcel 180-001977 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001977,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5035 FULLERTON DR, Columbus, OH, 43232",5035,FULLERTON DR,,Columbus,OH,43232,39.8969969,-82.8705449,auditor parcel 180-002166 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002166,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3656 CLEARWATER DR, Columbus, OH, 43232",3656,CLEARWATER DR,,Columbus,OH,43232,39.9027173,-82.860342,auditor parcel 180-002683 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002683,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5285 FULLERTON DR, Columbus, OH, 43232",5285,FULLERTON DR,,Columbus,OH,43232,39.8966551,-82.8641349,auditor parcel 180-002137 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002137,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3940 SIGNAL DR, Columbus, OH, 43232",3940,SIGNAL DR,,Columbus,OH,43232,39.8974541,-82.8596375,auditor parcel 180-002442 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002442,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5209 FULLERTON DR, Columbus, OH, 43232",5209,FULLERTON DR,,Columbus,OH,43232,39.8967748,-82.8660851,auditor parcel 180-002146 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002146,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5155 ZIMMER DR, Columbus, OH, 43232",5155,ZIMMER DR,,Columbus,OH,43232,39.9031366,-82.8646571,auditor parcel 180-003115 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003115,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3966 SIGNAL DR, Columbus, OH, 43232",3966,SIGNAL DR,,Columbus,OH,43232,39.8971384,-82.8596609,auditor parcel 180-002440 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002440,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3540 ARNSBY RD, Columbus, OH, 43232",3540,ARNSBY RD,,Columbus,OH,43232,39.9073939,-82.854727,auditor parcel 180-001299 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001299,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3208 FAYCREST RD, Columbus, OH, 43232",3208,FAYCREST RD,,Columbus,OH,43232,39.9110347,-82.8618788,auditor parcel 180-004111 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004111,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3333 EVERSON RD W, Columbus, OH, 43232",3333,EVERSON RD W,,Columbus,OH,43232,39.909635,-82.8548525,auditor parcel 180-004556 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004556,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3243 FAYCREST RD, Columbus, OH, 43232",3243,FAYCREST RD,,Columbus,OH,43232,39.9102776,-82.8625878,auditor parcel 180-004082 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004082,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5123 BENHAM DR, Columbus, OH, 43232",5123,BENHAM DR,,Columbus,OH,43232,39.9114898,-82.8615639,auditor parcel 180-004114 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004114,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3341 LATONIA CT, Columbus, OH, 43232",3341,LATONIA CT,,Columbus,OH,43232,39.9084284,-82.8614481,auditor parcel 180-004176 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004176,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5173 RUTLEDGE DR S, Columbus, OH, 43232",5173,RUTLEDGE DR S,,Columbus,OH,43232,39.9129355,-82.8593861,auditor parcel 180-004292 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004292,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5218 TUXWORTH DR, Columbus, OH, 43232",5218,TUXWORTH DR,,Columbus,OH,43232,39.9143217,-82.8570867,auditor parcel 260-000134 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000134,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5151 PARKLINE DR, Columbus, OH, 43232",5151,PARKLINE DR,,Columbus,OH,43232,39.9153468,-82.8577978,auditor parcel 260-000357 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000357,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3168 WENDOVER CT, Columbus, OH, 43232",3168,WENDOVER CT,,Columbus,OH,43232,39.9124425,-82.8531449,auditor parcel 180-004442 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004442,SINGLE_FAMILY,
A_parcel_address_match_and_census,"2988 OSGOOD RD W, Columbus, OH, 43232",2988,OSGOOD RD W,,Columbus,OH,43232,39.9165947,-82.8542962,auditor parcel 260-000235 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000235,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5143 PARKLINE DR, Columbus, OH, 43232",5143,PARKLINE DR,,Columbus,OH,43232,39.9153976,-82.8579763,auditor parcel 260-000358 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000358,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3159 PORTMAN RD, Columbus, OH, 43232",3159,PORTMAN RD,,Columbus,OH,43232,39.9127165,-82.8545794,auditor parcel 180-004341 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004341,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3519 TORWOOD DR, Columbus, OH, 43232",3519,TORWOOD DR,,Columbus,OH,43232,39.9047248,-82.8634892,auditor parcel 180-003246 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003246,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4495 KATHERINE RD, Columbus, OH, 43232",4495,KATHERINE RD,,Columbus,OH,43232,39.9071481,-82.8830503,auditor parcel 180-000803 (SINGLE_FAMILY),auditor parcel + census geocoder,180-000803,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3555 TORWOOD DR, Columbus, OH, 43232",3555,TORWOOD DR,,Columbus,OH,43232,39.9044713,-82.8631849,auditor parcel 180-003248 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003248,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3367 S HAMILTON RD, Columbus, OH, 43232",3367,S HAMILTON RD,,Columbus,OH,43232,39.9066382,-82.8820565,auditor parcel 180-001065 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001065,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3364 NOE BIXBY RD, Columbus, OH, 43232",3364,NOE BIXBY RD,,Columbus,OH,43232,39.9067987,-82.8675851,auditor parcel 180-003336 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003336,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3649 RODELL RD, Columbus, OH, 43232",3649,RODELL RD,,Columbus,OH,43232,39.9028359,-82.8618504,auditor parcel 180-003221 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003221,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3811 LAGUNA DR, Columbus, OH, 43232",3811,LAGUNA DR,,Columbus,OH,43232,39.90022,-82.8590067,auditor parcel 180-002600 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002600,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3604 S HAMILTON RD, Columbus, OH, 43232",3604,S HAMILTON RD,,Columbus,OH,43232,39.9017504,-82.8814416,auditor parcel 180-001215 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001215,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4991 BENTLER DR, Columbus, OH, 43232",4991,BENTLER DR,,Columbus,OH,43232,39.9009714,-82.8698497,auditor parcel 180-001894 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001894,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3767 GLENFIELD RD, Columbus, OH, 43232",3767,GLENFIELD RD,,Columbus,OH,43232,39.8999492,-82.8644622,auditor parcel 180-002029 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002029,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3721 AURELIA RD, Columbus, OH, 43232",3721,AURELIA RD,,Columbus,OH,43232,39.9008311,-82.8681096,auditor parcel 180-001886 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001886,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3845 ATKINSON RD, Columbus, OH, 43232",3845,ATKINSON RD,,Columbus,OH,43232,39.8989398,-82.8631168,auditor parcel 180-002056 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002056,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5011 BREWSTER DR, Columbus, OH, 43232",5011,BREWSTER DR,,Columbus,OH,43232,39.9001658,-82.8697242,auditor parcel 180-002197 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002197,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3756 AURELIA RD, Columbus, OH, 43232",3756,AURELIA RD,,Columbus,OH,43232,39.9001857,-82.8677604,auditor parcel 180-002371 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002371,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3818 BEECHTON RD, Columbus, OH, 43232",3818,BEECHTON RD,,Columbus,OH,43232,39.8991838,-82.8667678,auditor parcel 180-002274 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002274,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4970 BREWSTER DR, Columbus, OH, 43232",4970,BREWSTER DR,,Columbus,OH,43232,39.9005418,-82.870546,auditor parcel 180-001874 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001874,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5269 FULLERTON DR, Columbus, OH, 43232",5269,FULLERTON DR,,Columbus,OH,43232,39.8966764,-82.8645413,auditor parcel 180-002139 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002139,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4596 STRATFORD LN, Columbus, OH, 43232",4596,STRATFORD LN,,Columbus,OH,43232,39.90621,-82.8745614,auditor parcel 180-005220 (SINGLE_FAMILY),auditor parcel + census geocoder,180-005220,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5277 SUNDALE PL S, Columbus, OH, 43232",5277,SUNDALE PL S,,Columbus,OH,43232,39.9120261,-82.8576595,auditor parcel 180-004393 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004393,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4520 FLOYD DR, Columbus, OH, 43232",4520,FLOYD DR,,Columbus,OH,43232,39.9090884,-82.8820272,auditor parcel 180-000229 (SINGLE_FAMILY),auditor parcel + census geocoder,180-000229,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3128 HATFIELD CT, Columbus, OH, 43232",3128,HATFIELD CT,,Columbus,OH,43232,39.9127299,-82.8618876,auditor parcel 180-004276 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004276,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4580 BURKESHIRE DR, Columbus, OH, 43232",4580,BURKESHIRE DR,,Columbus,OH,43232,39.9075128,-82.8748287,auditor parcel 180-005216 (SINGLE_FAMILY),auditor parcel + census geocoder,180-005216,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3261 FONTAINE RD, Columbus, OH, 43232",3261,FONTAINE RD,,Columbus,OH,43232,39.910791,-82.8526696,auditor parcel 180-004514 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004514,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5043 FULLERTON DR, Columbus, OH, 43232",5043,FULLERTON DR,,Columbus,OH,43232,39.8969785,-82.8703559,auditor parcel 180-002165 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002165,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4598 WALBURN RD, Columbus, OH, 43232",4598,WALBURN RD,,Columbus,OH,43232,39.9021492,-82.8737162,auditor parcel 180-001615 (SINGLE_FAMILY),auditor parcel + census geocoder,180-001615,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5498 INLET DR, Columbus, OH, 43232",5498,INLET DR,,Columbus,OH,43232,39.9030422,-82.8560949,auditor parcel 180-002548 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002548,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3779 ATKINSON RD, Columbus, OH, 43232",3779,ATKINSON RD,,Columbus,OH,43232,39.9002757,-82.8630204,auditor parcel 180-002048 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002048,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3479 DEMINGTON RD, Columbus, OH, 43232",3479,DEMINGTON RD,,Columbus,OH,43232,39.9054353,-82.8706683,auditor parcel 180-003454 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003454,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3097 HATFIELD CT, Columbus, OH, 43232",3097,HATFIELD CT,,Columbus,OH,43232,39.9135252,-82.8623088,auditor parcel 180-004268 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004268,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4627 WINDRIDGE CT, Columbus, OH, 43232",4627,WINDRIDGE CT,,Columbus,OH,43232,39.9079513,-82.8739541,auditor parcel 180-005210 (SINGLE_FAMILY),auditor parcel + census geocoder,180-005210,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3320 EVERSON RD E, Columbus, OH, 43232",3320,EVERSON RD E,,Columbus,OH,43232,39.9095821,-82.8533906,auditor parcel 180-004539 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004539,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4950 SILVERTON DR, Columbus, OH, 43232",4950,SILVERTON DR,,Columbus,OH,43232,39.9168809,-82.8621481,auditor parcel 260-000486 (SINGLE_FAMILY),auditor parcel + census geocoder,260-000486,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3901 CLEARWATER DR, Columbus, OH, 43232",3901,CLEARWATER DR,,Columbus,OH,43232,39.8981856,-82.8611205,auditor parcel 180-002735 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002735,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5400 NEWPORT RD, Columbus, OH, 43232",5400,NEWPORT RD,,Columbus,OH,43232,39.9041437,-82.8581929,auditor parcel 180-002518 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002518,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5057 HATFIELD DR, Columbus, OH, 43232",5057,HATFIELD DR,,Columbus,OH,43232,39.912358,-82.862841,auditor parcel 180-004253 (SINGLE_FAMILY),auditor parcel + census geocoder,180-004253,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3650 TYLOR DR, Columbus, OH, 43232",3650,TYLOR DR,,Columbus,OH,43232,39.9029995,-82.859292,auditor parcel 180-002563 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002563,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3567 WYMORE PL, Columbus, OH, 43232",3567,WYMORE PL,,Columbus,OH,43232,39.9040249,-82.8664547,auditor parcel 180-003354 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003354,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3755 LAGUNA DR, Columbus, OH, 43232",3755,LAGUNA DR,,Columbus,OH,43232,39.900983,-82.8588823,auditor parcel 180-002596 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002596,SINGLE_FAMILY,
A_parcel_address_match_and_census,"5121 SEDALIA DR, Columbus, OH, 43232",5121,SEDALIA DR,,Columbus,OH,43232,39.9069812,-82.8638289,auditor parcel 180-003303 (SINGLE_FAMILY),auditor parcel + census geocoder,180-003303,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4514 GERLING BLVD, Columbus, OH, 43232",4514,GERLING BLVD,,Columbus,OH,43232,39.9096392,-82.8821586,auditor parcel 180-000517 (SINGLE_FAMILY),auditor parcel + census geocoder,180-000517,SINGLE_FAMILY,
A_parcel_address_match_and_census,"4703 HARBOR BLVD, Columbus, OH, 43232",4703,HARBOR BLVD,,Columbus,OH,43232,39.9031335,-82.8760811,auditor parcel 180-002827 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002827,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3987 SIGNAL DR, Columbus, OH, 43232",3987,SIGNAL DR,,Columbus,OH,43232,39.8967866,-82.8603968,auditor parcel 180-002431 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002431,SINGLE_FAMILY,
A_parcel_address_match_and_census,"3889 ATKINSON RD, Columbus, OH, 43232",3889,ATKINSON RD,,Columbus,OH,43232,39.8981188,-82.8631909,auditor parcel 180-002061 (SINGLE_FAMILY),auditor parcel + census geocoder,180-002061,SINGLE_FAMILY,
