address,number,street,unit,city,state,zip,latitude,longitude,final_classification,existence_source,residential_source,census_matched_address
"3427 LATONIA RD, Columbus, OH, 43232",3427,LATONIA RD,,Columbus,OH,43232,39.9072428,-82.8617877,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3232 NOE BIXBY RD APT 2H, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2H,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3463 LATONIA RD, Columbus, OH, 43232",3463,LATONIA RD,,Columbus,OH,43232,39.9066725,-82.8623587,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"4475 REINBEAU DR, Columbus, OH, 43232",4475,REINBEAU DR,,Columbus,OH,43232,39.9059386,-82.8802526,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"3416 BRANDONBURY WAY, Columbus, OH, 43232",3416,BRANDONBURY WAY,,Columbus,OH,43232,39.9063699,-82.8722881,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"4459 REINBEAU DR APT, Columbus, OH, 43232",4459,REINBEAU DR,APT,Columbus,OH,43232,39.9061939,-82.8801684,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Non_Exact
"5150 SEDALIA DR, Columbus, OH, 43232",5150,SEDALIA DR,,Columbus,OH,43232,39.9072239,-82.8634595,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"4457 REINBEAU DR APT, Columbus, OH, 43232",4457,REINBEAU DR,APT,Columbus,OH,43232,39.9062351,-82.880158,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Non_Exact
"5550 NEWPORT CT, Columbus, OH, 43232",5550,NEWPORT CT,,Columbus,OH,43232,39.9040049,-82.854371,RESIDENTIAL,census_geocoder,auditor_street (8/11 dwelling),Exact
"4495 REINBEAU DR, Columbus, OH, 43232",4495,REINBEAU DR,,Columbus,OH,43232,39.9060809,-82.8798613,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"4486 REINBEAU DR, Columbus, OH, 43232",4486,REINBEAU DR,,Columbus,OH,43232,39.906725,-82.8801,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"3759 EVANSTON RD, Columbus, OH, 43232",3759,EVANSTON RD,,Columbus,OH,43232,39.8999242,-82.864127,RESIDENTIAL,census_geocoder,auditor_street (35/36 dwelling),Exact
"3409 BRANDONBURY WAY, Columbus, OH, 43232",3409,BRANDONBURY WAY,,Columbus,OH,43232,39.9064542,-82.8726913,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"3232 NOE BIXBY RD APT 1G, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1G,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"4892 WYMORE DR, Columbus, OH, 43232",4892,WYMORE DR,,Columbus,OH,43232,39.9058397,-82.8702356,RESIDENTIAL,census_geocoder,auditor_street (39/39 dwelling),Exact
"3191 BENHAM CT, Columbus, OH, 43232",3191,BENHAM CT,,Columbus,OH,43232,39.9114602,-82.8632107,RESIDENTIAL,census_geocoder,auditor_street (15/15 dwelling),Exact
"3421 LATONIA RD, Columbus, OH, 43232",3421,LATONIA RD,,Columbus,OH,43232,39.9073848,-82.8618348,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3461 LATONIA RD, Columbus, OH, 43232",3461,LATONIA RD,,Columbus,OH,43232,39.9067198,-82.8623233,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"5365 NEWPORT RD, Columbus, OH, 43232",5365,NEWPORT RD,,Columbus,OH,43232,39.9038657,-82.8589721,RESIDENTIAL,census_geocoder,auditor_street (46/46 dwelling),Exact
"3367 BEACHWORTH DR, Columbus, OH, 43232",3367,BEACHWORTH DR,,Columbus,OH,43232,39.9065863,-82.8793757,RESIDENTIAL,census_geocoder,auditor_street (22/31 dwelling),Exact
"5120 SEDALIA DR, Columbus, OH, 43232",5120,SEDALIA DR,,Columbus,OH,43232,39.907797,-82.8633912,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"5101 SEDALIA DR, Columbus, OH, 43232",5101,SEDALIA DR,,Columbus,OH,43232,39.9073709,-82.8644619,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3451 LATONIA RD, Columbus, OH, 43232",3451,LATONIA RD,,Columbus,OH,43232,39.9069503,-82.8622781,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"4590 GLENGATE DR, Columbus, OH, 43232",4590,GLENGATE DR,,Columbus,OH,43232,39.904495,-82.8786834,RESIDENTIAL,census_geocoder,auditor_street (38/38 dwelling),Exact
"5264 TUXWORTH DR, Columbus, OH, 43232",5264,TUXWORTH DR,,Columbus,OH,43232,39.9139791,-82.8561117,RESIDENTIAL,census_geocoder,auditor_street (19/19 dwelling),Exact
"3399 BRANDONBURY WAY, Columbus, OH, 43232",3399,BRANDONBURY WAY,,Columbus,OH,43232,39.9066593,-82.8727067,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"4474 REINBEAU DR, Columbus, OH, 43232",4474,REINBEAU DR,,Columbus,OH,43232,39.9067374,-82.8804316,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"3441 LATONIA RD, Columbus, OH, 43232",3441,LATONIA RD,,Columbus,OH,43232,39.9070528,-82.8619721,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3435 LATONIA RD, Columbus, OH, 43232",3435,LATONIA RD,,Columbus,OH,43232,39.9072014,-82.8620442,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3400 BRANDONBURY WAY, Columbus, OH, 43232",3400,BRANDONBURY WAY,,Columbus,OH,43232,39.9067162,-82.8723077,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"3279 NOE BIXBY RD, Columbus, OH, 43232",3279,NOE BIXBY RD,,Columbus,OH,43232,39.9078051,-82.8719464,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"5144 TUXWORTH CT, Columbus, OH, 43232",5144,TUXWORTH CT,,Columbus,OH,43232,39.9148261,-82.8586044,RESIDENTIAL,census_geocoder,auditor_street (13/13 dwelling),Exact
"5142 SEDALIA DR, Columbus, OH, 43232",5142,SEDALIA DR,,Columbus,OH,43232,39.9074204,-82.8633821,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"5100 TREMAINE CT, Columbus, OH, 43232",5100,TREMAINE CT,,Columbus,OH,43232,39.9060706,-82.864701,RESIDENTIAL,census_geocoder,auditor_street (11/11 dwelling),Exact
"5110 SEDALIA DR, Columbus, OH, 43232",5110,SEDALIA DR,,Columbus,OH,43232,39.9078762,-82.8635235,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"4473 REINBEAU DR, Columbus, OH, 43232",4473,REINBEAU DR,,Columbus,OH,43232,39.9059518,-82.8803239,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"3365 BEACHWORTH DR, Columbus, OH, 43232",3365,BEACHWORTH DR,,Columbus,OH,43232,39.9066534,-82.8793404,RESIDENTIAL,census_geocoder,auditor_street (22/31 dwelling),Exact
"3417 BRANDONBURY WAY, Columbus, OH, 43232",3417,BRANDONBURY WAY,,Columbus,OH,43232,39.9063015,-82.8727119,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"5104 SEDALIA DR, Columbus, OH, 43232",5104,SEDALIA DR,,Columbus,OH,43232,39.9079945,-82.863795,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3392 BRANDONBURY WAY, Columbus, OH, 43232",3392,BRANDONBURY WAY,,Columbus,OH,43232,39.9069173,-82.872348,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"4512 REINBEAU DR, Columbus, OH, 43232",4512,REINBEAU DR,,Columbus,OH,43232,39.9065859,-82.8794719,RESIDENTIAL,census_geocoder,auditor_street (17/21 dwelling),Exact
"3433 LATONIA RD, Columbus, OH, 43232",3433,LATONIA RD,,Columbus,OH,43232,39.9071678,-82.8619834,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3459 LATONIA RD, Columbus, OH, 43232",3459,LATONIA RD,,Columbus,OH,43232,39.906754,-82.8622771,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3380 BRANDONBURY WAY, Columbus, OH, 43232",3380,BRANDONBURY WAY,,Columbus,OH,43232,39.9070439,-82.8723487,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"5109 SEDALIA DR, Columbus, OH, 43232",5109,SEDALIA DR,,Columbus,OH,43232,39.9072397,-82.8642723,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3447 LATONIA RD, Columbus, OH, 43232",3447,LATONIA RD,,Columbus,OH,43232,39.9069778,-82.8621642,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3425 LATONIA RD, Columbus, OH, 43232",3425,LATONIA RD,,Columbus,OH,43232,39.9072967,-82.8618415,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3428 BRANDONBURY WAY, Columbus, OH, 43232",3428,BRANDONBURY WAY,,Columbus,OH,43232,39.9061499,-82.8723047,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"3408 BRANDONBURY WAY, Columbus, OH, 43232",3408,BRANDONBURY WAY,,Columbus,OH,43232,39.9065524,-82.8722855,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"3419 LATONIA RD, Columbus, OH, 43232",3419,LATONIA RD,,Columbus,OH,43232,39.907351,-82.8617812,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3585 TORWOOD DR, Columbus, OH, 43232",3585,TORWOOD DR,,Columbus,OH,43232,39.903786,-82.862864,RESIDENTIAL,census_geocoder,auditor_street (25/25 dwelling),Non_Exact
"3232 NOE BIXBY RD APT 2B, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2B,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2J, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2J,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2M, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2M,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"5113 SEDALIA DR, Columbus, OH, 43232",5113,SEDALIA DR,,Columbus,OH,43232,39.9071791,-82.8641793,RESIDENTIAL,census_geocoder,auditor_street (48/57 dwelling),Exact
"3439 LATONIA RD, Columbus, OH, 43232",3439,LATONIA RD,,Columbus,OH,43232,39.9070998,-82.8620258,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3225 PORTMAN RD, Columbus, OH, 43232",3225,PORTMAN RD,,Columbus,OH,43232,39.911304,-82.8546328,RESIDENTIAL,census_geocoder,auditor_street (21/21 dwelling),Exact
"3232 NOE BIXBY RD APT 3D, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3D,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3P, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3P,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2N, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2N,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2R, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2R,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1D, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1D,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3L, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3L,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3J, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3J,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3S, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3S,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3F, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3F,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1E, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1E,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1C, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1C,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2K, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2K,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1R, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1R,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1S, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1S,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1H, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1H,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3Q, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3Q,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3N, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3N,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2P, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2P,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3R, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3R,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1A, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1A,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3E, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3E,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2F, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2F,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3G, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3G,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3K, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3K,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3H, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3H,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3465 LATONIA RD, Columbus, OH, 43232",3465,LATONIA RD,,Columbus,OH,43232,39.9066113,-82.8624261,RESIDENTIAL,census_geocoder,auditor_street (45/45 dwelling),Exact
"3232 NOE BIXBY RD APT 3A, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3A,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1J, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1J,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1L, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1L,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1M, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1M,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2C, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2C,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2G, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2G,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2E, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2E,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 3B, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 3B,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 2D, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 2D,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"3232 NOE BIXBY RD APT 1F, Columbus, OH, 43232",3232,NOE BIXBY RD,APT 1F,Columbus,OH,43232,39.9097293,-82.8642212,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
