number,street,city,state,postcode,latitude,longitude
6854,Prospect Ave,Cleveland,OH,44113,41.460389,-81.68683
210,Ontario St,Cleveland,OH,44114,41.545135,-81.675726
402,Ontario St,Cleveland,OH,44113,41.482078,-81.722642
1975,Carnegie Ave,Cleveland,OH,44114,41.516544,-81.71682
5151,Euclid Ave,Cleveland,OH,44114,41.499524,-81.70569
1184,Prospect Ave,Cleveland,OH,44113,41.488359,-81.741508
2098,Ontario St,Cleveland,OH,44115,41.459859,-81.70043
1966,Superior Ave,Cleveland,OH,44103,41.487278,-81.683807
801,Superior Ave,Cleveland,OH,44103,41.494587,-81.724361
8388,Prospect Ave,Cleveland,OH,44113,41.540369,-81.730031
3555,Carnegie Ave,Cleveland,OH,44103,41.458773,-81.66773
9676,Ontario St,Cleveland,OH,44114,41.519095,-81.67448
4973,Carnegie Ave,Cleveland,OH,44103,41.545618,-81.735049
3580,Ontario St,Cleveland,OH,44114,41.467568,-81.705014
5953,Ontario St,Cleveland,OH,44113,41.511095,-81.67202
5922,Euclid Ave,Cleveland,OH,44115,41.525941,-81.677712
4771,Prospect Ave,Cleveland,OH,44114,41.524796,-81.715465
5224,Prospect Ave,Cleveland,OH,44115,41.539343,-81.666808
9870,Euclid Ave,Cleveland,OH,44113,41.546753,-81.697592
2640,Superior Ave,Cleveland,OH,44102,41.481177,-81.702759
4836,Carnegie Ave,Cleveland,OH,44102,41.484783,-81.659234
3647,Ontario St,Cleveland,OH,44114,41.46632,-81.675313
8473,Superior Ave,Cleveland,OH,44114,41.540881,-81.697141
1061,Carnegie Ave,Cleveland,OH,44115,41.461275,-81.670686
9679,Ontario St,Cleveland,OH,44113,41.522324,-81.725428
8899,Superior Ave,Cleveland,OH,44102,41.465392,-81.741363
3186,Superior Ave,Cleveland,OH,44113,41.497073,-81.666944
1379,Euclid Ave,Cleveland,OH,44113,41.462323,-81.675916
8201,Carnegie Ave,Cleveland,OH,44113,41.54773,-81.650123
3077,Ontario St,Cleveland,OH,44102,41.491167,-81.67468
4210,Prospect Ave,Cleveland,OH,44102,41.489987,-81.667846
9930,Prospect Ave,Cleveland,OH,44114,41.53923,-81.717068
6980,Prospect Ave,Cleveland,OH,44102,41.453076,-81.714243
3350,Superior Ave,Cleveland,OH,44115,41.51302,-81.743275
3958,Carnegie Ave,Cleveland,OH,44103,41.506317,-81.72629
442,Superior Ave,Cleveland,OH,44113,41.482076,-81.667576
1006,Ontario St,Cleveland,OH,44115,41.542617,-81.742358
8288,Superior Ave,Cleveland,OH,44113,41.482681,-81.661358
9682,Superior Ave,Cleveland,OH,44113,41.478167,-81.697233
1996,Prospect Ave,Cleveland,OH,44103,41.455399,-81.680279
8092,Euclid Ave,Cleveland,OH,44114,41.527132,-81.709237
9886,Main St,Cincinnati,OH,45219,39.107005,-84.508563
743,Walnut St,Cincinnati,OH,45219,39.150103,-84.475348
9369,Central Ave,Cincinnati,OH,45214,39.142657,-84.521727
6624,Race St,Cincinnati,OH,45214,39.06288,-84.55477
845,Walnut St,Cincinnati,OH,45229,39.062468,-84.558571
8582,Central Ave,Cincinnati,OH,45202,39.065126,-84.541999
2029,Sycamore St,Cincinnati,OH,45203,39.123496,-84.518469
2887,Main St,Cincinnati,OH,45203,39.087435,-84.548333
4814,Race St,Cincinnati,OH,45214,39.066817,-84.499469
5122,Walnut St,Cincinnati,OH,45202,39.124801,-84.517574
5408,Vine St,Cincinnati,OH,45203,39.089509,-84.477349
526,Race St,Cincinnati,OH,45219,39.147359,-84.46695
2594,Main St,Cincinnati,OH,45229,39.095649,-84.535134
7939,Walnut St,Cincinnati,OH,45202,39.064972,-84.55848
6702,Walnut St,Cincinnati,OH,45202,39.140002,-84.554319
2815,Race St,Cincinnati,OH,45229,39.141953,-84.498838
578,Race St,Cincinnati,OH,45214,39.057809,-84.486913
7460,Main St,Cincinnati,OH,45203,39.08534,-84.466498
1854,Main St,Cincinnati,OH,45214,39.152821,-84.462133
1793,Vine St,Cincinnati,OH,45202,39.091999,-84.493728
5424,Main St,Cincinnati,OH,45203,39.111464,-84.555407
7871,Central Ave,Cincinnati,OH,45202,39.078953,-84.505259
1801,Sycamore St,Cincinnati,OH,45203,39.067213,-84.555005
1500,Central Ave,Cincinnati,OH,45214,39.130781,-84.508567
4866,Central Ave,Cincinnati,OH,45229,39.096186,-84.514979
9025,Sycamore St,Cincinnati,OH,45219,39.061606,-84.523355
9669,Main St,Cincinnati,OH,45202,39.144063,-84.504927
9002,Walnut St,Cincinnati,OH,45202,39.112045,-84.505875
641,Main St,Cincinnati,OH,45219,39.126379,-84.525859
5950,Main St,Cincinnati,OH,45219,39.120705,-84.467649
9844,Central Ave,Cincinnati,OH,45214,39.06922,-84.531834
9792,Vine St,Cincinnati,OH,45202,39.115244,-84.550515
5110,Sycamore St,Cincinnati,OH,45229,39.124598,-84.526414
639,Central Ave,Cincinnati,OH,45229,39.11415,-84.552844
3720,Race St,Cincinnati,OH,45219,39.060336,-84.504425
4024,Sycamore St,Cincinnati,OH,45219,39.114529,-84.552249
9086,Central Ave,Cincinnati,OH,45203,39.136885,-84.546735
6075,Walnut St,Cincinnati,OH,45219,39.098274,-84.474246
1022,Main St,Cincinnati,OH,45219,39.143375,-84.517354
7110,Walnut St,Cincinnati,OH,45219,39.138245,-84.51631
1965,Walnut St,Cincinnati,OH,45203,39.118253,-84.555668
319,Main St,Cincinnati,OH,45202,39.123559,-84.50563
9989,Walnut St,Cincinnati,OH,45202,39.053162,-84.543784
954,Vine St,Cincinnati,OH,45229,39.10197,-84.465511
1445,Sycamore St,Cincinnati,OH,45219,39.109833,-84.540139
1186,Vine St,Cincinnati,OH,45203,39.151759,-84.473762
5638,Race St,Cincinnati,OH,45214,39.083756,-84.479495
7063,Central Ave,Cincinnati,OH,45203,39.087369,-84.480211
3944,Main St,Cincinnati,OH,45202,39.133022,-84.536532
6223,Walnut St,Cincinnati,OH,45203,39.05546,-84.483649
4519,Race St,Cincinnati,OH,45229,39.072847,-84.48517
6995,Central Ave,Cincinnati,OH,45214,39.149481,-84.47945
1121,Sycamore St,Cincinnati,OH,45202,39.139428,-84.485985
613,Central Ave,Cincinnati,OH,45214,39.072424,-84.489201
2391,Main St,Cincinnati,OH,45219,39.080314,-84.463148
2309,Main St,Cincinnati,OH,45203,39.061957,-84.507366
8725,Walnut St,Cincinnati,OH,45229,39.088046,-84.505472
755,Race St,Cincinnati,OH,45219,39.149285,-84.534215
2388,Vine St,Cincinnati,OH,45229,39.09882,-84.529977
9430,Vine St,Cincinnati,OH,45219,39.100645,-84.543861
4015,Vine St,Cincinnati,OH,45219,39.116857,-84.501334
3765,Main St,Cincinnati,OH,45202,39.096284,-84.544034
5146,Sycamore St,Cincinnati,OH,45214,39.07015,-84.521691
4315,Vine St,Cincinnati,OH,45203,39.056434,-84.494716
6814,Main St,Cincinnati,OH,45219,39.054886,-84.534973
961,Vine St,Cincinnati,OH,45214,39.118463,-84.512887
7916,Race St,Cincinnati,OH,45229,39.089797,-84.476573
6304,Sycamore St,Cincinnati,OH,45214,39.090502,-84.556682
1542,Sycamore St,Cincinnati,OH,45214,39.054161,-84.538694
6229,Race St,Cincinnati,OH,45203,39.096521,-84.504436
7995,Main St,Cincinnati,OH,45202,39.121795,-84.518783
2893,Sycamore St,Cincinnati,OH,45219,39.105292,-84.537002
5300,Walnut St,Cincinnati,OH,45202,39.053693,-84.465847
7549,Sycamore St,Cincinnati,OH,45203,39.124766,-84.524544
6779,Summit St,Toledo,OH,43607,41.681088,-83.536209
6151,Cherry St,Toledo,OH,43608,41.616576,-83.527913
6217,Monroe St,Toledo,OH,43604,41.640635,-83.49671
8522,Adams St,Toledo,OH,43606,41.665334,-83.495422
8599,Adams St,Toledo,OH,43608,41.675098,-83.587219
7096,Monroe St,Toledo,OH,43606,41.699636,-83.557758
4397,Summit St,Toledo,OH,43607,41.641857,-83.58042
2621,Cherry St,Toledo,OH,43607,41.67317,-83.570478
551,Adams St,Toledo,OH,43607,41.63332,-83.543196
4714,Adams St,Toledo,OH,43607,41.634165,-83.55036
3069,Adams St,Toledo,OH,43606,41.637226,-83.583258
9366,Adams St,Toledo,OH,43607,41.664041,-83.520968
4300,Cherry St,Toledo,OH,43607,41.619667,-83.586546
5124,Cherry St,Toledo,OH,43608,41.672707,-83.565677
2920,Adams St,Toledo,OH,43607,41.643185,-83.534272
8703,Jefferson Ave,Toledo,OH,43607,41.629657,-83.575655
6797,Jefferson Ave,Toledo,OH,43606,41.610755,-83.549116
1512,Cherry St,Toledo,OH,43606,41.702715,-83.524076
9970,Summit St,Toledo,OH,43606,41.622776,-83.580093
4205,Cherry St,Toledo,OH,43604,41.686726,-83.510793
7601,Jefferson Ave,Toledo,OH,43608,41.698263,-83.52714
5426,Adams St,Toledo,OH,43604,41.623414,-83.57104
9048,Adams St,Toledo,OH,43604,41.694253,-83.499351
8810,Cherry St,Toledo,OH,43609,41.649303,-83.55061
267,Jefferson Ave,Toledo,OH,43607,41.651245,-83.51669
1317,Monroe St,Toledo,OH,43609,41.611548,-83.512002
6076,Adams St,Toledo,OH,43609,41.652283,-83.492687
2690,Cherry St,Toledo,OH,43607,41.687154,-83.523091
6325,Summit St,Toledo,OH,43609,41.683383,-83.505335
2114,Cherry St,Toledo,OH,43606,41.60587,-83.519574
9729,Cherry St,Toledo,OH,43607,41.667725,-83.517879
3630,Cherry St,Toledo,OH,43609,41.671122,-83.497411
1195,Adams St,Toledo,OH,43604,41.638685,-83.494351
8316,Jefferson Ave,Toledo,OH,43604,41.657192,-83.496453
6675,Summit St,Toledo,OH,43609,41.632723,-83.524794
9400,Monroe St,Toledo,OH,43607,41.695597,-83.531588
1393,Adams St,Toledo,OH,43608,41.671539,-83.56127
1293,Cherry St,Toledo,OH,43607,41.630589,-83.583538
3151,Monroe St,Toledo,OH,43606,41.61948,-83.581492
9887,Monroe St,Toledo,OH,43608,41.670431,-83.556036
973,Monroe St,Toledo,OH,43606,41.615936,-83.579494
901,Adams St,Toledo,OH,43604,41.691067,-83.500296
8411,Summit St,Toledo,OH,43604,41.699479,-83.522719
8359,Jefferson Ave,Toledo,OH,43604,41.665092,-83.525792
8760,Monroe St,Toledo,OH,43606,41.684707,-83.532697
9964,Jefferson Ave,Toledo,OH,43607,41.613772,-83.563068
3172,Cherry St,Toledo,OH,43607,41.669513,-83.56767
9146,Cherry St,Toledo,OH,43604,41.654274,-83.578508
1756,Adams St,Toledo,OH,43604,41.649224,-83.552638
4041,Summit St,Toledo,OH,43607,41.700519,-83.546736
574,Monroe St,Toledo,OH,43604,41.696185,-83.54747
5549,Adams St,Toledo,OH,43606,41.685289,-83.503851
6730,Jefferson Ave,Toledo,OH,43609,41.645693,-83.568396
112,Adams St,Toledo,OH,43608,41.693401,-83.517171
6505,Cherry St,Toledo,OH,43609,41.605964,-83.504727
3977,Summit St,Toledo,OH,43606,41.695458,-83.516789
5028,Adams St,Toledo,OH,43604,41.678958,-83.568482
1693,Adams St,Toledo,OH,43606,41.645836,-83.523629
9702,Cherry St,Toledo,OH,43604,41.614294,-83.579694
2184,Summit St,Toledo,OH,43604,41.700199,-83.492476
2365,Monroe St,Toledo,OH,43608,41.696183,-83.510871
2733,Jefferson Ave,Toledo,OH,43608,41.607269,-83.513878
4847,Summit St,Toledo,OH,43608,41.664253,-83.496588
1537,Adams St,Toledo,OH,43604,41.666232,-83.491351
186,Mill St,Akron,OH,44313,41.049794,-81.48178
4108,Market St,Akron,OH,44308,41.066956,-81.48837
1675,Mill St,Akron,OH,44313,41.080264,-81.493317
5893,Exchange St,Akron,OH,44310,41.046701,-81.522446
4359,Mill St,Akron,OH,44314,41.079906,-81.544065
5915,Exchange St,Akron,OH,44310,41.057953,-81.525811
8026,Exchange St,Akron,OH,44311,41.079835,-81.495738
5467,Exchange St,Akron,OH,44314,41.127108,-81.542259
6333,Broadway,Akron,OH,44311,41.100137,-81.537437
629,Broadway,Akron,OH,44310,41.080253,-81.538303
9360,Market St,Akron,OH,44313,41.048904,-81.522165
2656,Mill St,Akron,OH,44310,41.060404,-81.513723
7613,Market St,Akron,OH,44308,41.086738,-81.489159
7422,Broadway,Akron,OH,44308,41.070176,-81.491861
9059,Exchange St,Akron,OH,44314,41.047955,-81.567176
8211,Mill St,Akron,OH,44311,41.065312,-81.530748
9073,Main St,Akron,OH,44314,41.048087,-81.565902
9462,Mill St,Akron,OH,44313,41.098486,-81.566572
8400,Exchange St,Akron,OH,44313,41.0518,-81.51429
5198,Mill St,Akron,OH,44314,41.054481,-81.507295
2520,Main St,Akron,OH,44314,41.078364,-81.490305
6856,Mill St,Akron,OH,44310,41.094162,-81.477264
727,Mill St,Akron,OH,44313,41.11029,-81.553494
6945,Mill St,Akron,OH,44311,41.128889,-81.47335
5925,Main St,Akron,OH,44308,41.103781,-81.503558
114,Mill St,Akron,OH,44313,41.03868,-81.564067
866,Market St,Akron,OH,44311,41.062906,-81.5595
5326,Main St,Akron,OH,44311,41.07877,-81.528532
6101,Broadway,Akron,OH,44308,41.072711,-81.553261
251,Mill St,Akron,OH,44308,41.062444,-81.473945
2851,Broadway,Akron,OH,44310,41.092679,-81.501704
1677,Market St,Akron,OH,44314,41.038196,-81.485829
7844,Exchange St,Akron,OH,44308,41.046181,-81.481071
6921,Main St,Akron,OH,44313,41.032672,-81.54249
2781,Exchange St,Akron,OH,44313,41.062589,-81.545194
3651,Market St,Akron,OH,44308,41.096239,-81.527841
4975,Market St,Akron,OH,44310,41.098412,-81.530566
4166,Market St,Akron,OH,44311,41.114245,-81.469023
5646,Mill St,Akron,OH,44310,41.107091,-81.476068
4316,Market St,Akron,OH,44310,41.035222,-81.515538
6980,Mill St,Akron,OH,44311,41.125594,-81.54043
2886,Exchange St,Akron,OH,44313,41.088567,-81.490086
2990,Market St,Akron,OH,44313,41.130361,-81.50097
1485,Broadway,Akron,OH,44308,41.090026,-81.470308
5429,Mill St,Akron,OH,44313,41.124028,-81.499606
9709,Market St,Akron,OH,44310,41.04119,-81.494805
7087,Exchange St,Akron,OH,44308,41.038586,-81.526899
5525,Broadway,Akron,OH,44311,41.088465,-81.470011
6215,Broadway,Akron,OH,44308,41.060996,-81.515842
6103,Mill St,Akron,OH,44313,41.102323,-81.543788
9970,Exchange St,Akron,OH,44313,41.05053,-81.496211
8446,Main St,Akron,OH,44308,41.09677,-81.519767
7586,Market St,Akron,OH,44314,41.072278,-81.503241
5390,Exchange St,Akron,OH,44311,41.105538,-81.542919
8438,Mill St,Akron,OH,44310,41.041078,-81.495492
5555,Market St,Akron,OH,44313,41.048506,-81.529002
5320,Market St,Akron,OH,44308,41.065373,-81.530861
4909,Exchange St,Akron,OH,44310,41.058773,-81.516915
3139,Exchange St,Akron,OH,44308,41.129417,-81.503704
9389,Market St,Akron,OH,44311,41.117837,-81.51326
8730,Broadway,Akron,OH,44313,41.084288,-81.47943
9428,Mill St,Akron,OH,44310,41.089658,-81.483525
4224,Main St,Akron,OH,44308,41.059481,-81.562872
9929,Market St,Akron,OH,44313,41.037404,-81.49253
3620,Main St,Akron,OH,44308,41.103802,-81.53401
5458,Exchange St,Akron,OH,44313,41.108285,-81.479269
6804,Exchange St,Akron,OH,44314,41.112816,-81.542306
613,Broadway,Akron,OH,44313,41.063204,-81.53877
6481,Exchange St,Akron,OH,44311,41.118444,-81.493309
5745,Broadway,Akron,OH,44311,41.037925,-81.511456
9003,Main St,Akron,OH,44308,41.043206,-81.564073
2172,Main St,Akron,OH,44310,41.105031,-81.483657
8986,Mill St,Akron,OH,44311,41.068308,-81.522272
3106,Exchange St,Akron,OH,44313,41.097921,-81.567262
1945,Exchange St,Akron,OH,44313,41.088461,-81.534488
7772,Broadway,Akron,OH,44310,41.104939,-81.521469
7417,Main St,Akron,OH,44313,41.085116,-81.481668
3989,Mill St,Akron,OH,44313,41.114111,-81.509866
3936,Main St,Akron,OH,44308,41.105347,-81.487
4093,Market St,Akron,OH,44308,41.110135,-81.568543
4135,Market St,Akron,OH,44311,41.10192,-81.511757
4140,Mill St,Akron,OH,44314,41.096599,-81.504366
1377,Main St,Akron,OH,44308,41.105499,-81.500578
1084,Main St,Akron,OH,44308,41.038669,-81.503662
4088,Broadway,Akron,OH,44313,41.114359,-81.5351
8791,Market St,Akron,OH,44310,41.06788,-81.502341
3694,Market St,Akron,OH,44310,41.071971,-81.482194
6448,Broadway,Akron,OH,44313,41.067298,-81.536252
8807,Main St,Akron,OH,44313,41.111494,-81.531661
2501,Broadway,Akron,OH,44310,41.05462,-81.531412
6213,5th St,Dayton,OH,45406,39.754483,-84.232056
2468,Jefferson St,Dayton,OH,45402,39.767461,-84.191165
187,Wayne Ave,Dayton,OH,45404,39.788816,-84.1542
3319,Main St,Dayton,OH,45403,39.766921,-84.176061
3531,Jefferson St,Dayton,OH,45403,39.721471,-84.148981
7498,5th St,Dayton,OH,45405,39.735272,-84.240336
5130,3rd St,Dayton,OH,45402,39.80783,-84.237267
5627,Main St,Dayton,OH,45403,39.736026,-84.231358
4521,Wayne Ave,Dayton,OH,45404,39.786359,-84.219081
3126,Wayne Ave,Dayton,OH,45406,39.715941,-84.198955
1995,3rd St,Dayton,OH,45406,39.746623,-84.204353
9680,3rd St,Dayton,OH,45404,39.723912,-84.183193
4430,5th St,Dayton,OH,45402,39.763681,-84.217011
9620,5th St,Dayton,OH,45406,39.738176,-84.15093
733,3rd St,Dayton,OH,45406,39.757915,-84.19329
2705,Main St,Dayton,OH,45403,39.711731,-84.240357
6958,3rd St,Dayton,OH,45404,39.76689,-84.220639
4245,Main St,Dayton,OH,45402,39.748659,-84.142592
8898,Main St,Dayton,OH,45404,39.777516,-84.231803
8398,3rd St,Dayton,OH,45406,39.767613,-84.187746
8134,3rd St,Dayton,OH,45403,39.772646,-84.173796
5882,3rd St,Dayton,OH,45406,39.71577,-84.148612
6263,Main St,Dayton,OH,45405,39.754047,-84.171726
2033,Jefferson St,Dayton,OH,45405,39.744795,-84.235099
9611,3rd St,Dayton,OH,45405,39.733215,-84.190578
6267,Jefferson St,Dayton,OH,45406,39.755432,-84.150443
2178,Jefferson St,Dayton,OH,45406,39.807625,-84.183958
7192,3rd St,Dayton,OH,45405,39.804381,-84.196096
9941,Wayne Ave,Dayton,OH,45402,39.759529,-84.144496
4505,Wayne Ave,Dayton,OH,45405,39.729815,-84.182742
6166,Main St,Dayton,OH,45405,39.799906,-84.158269
3599,Jefferson St,Dayton,OH,45402,39.785636,-84.232919
981,3rd St,Dayton,OH,45405,39.720054,-84.18446
5460,5th St,Dayton,OH,45406,39.731233,-84.190514
322,Wayne Ave,Dayton,OH,45403,39.728585,-84.160258
2384,5th St,Dayton,OH,45403,39.780622,-84.178988
9612,3rd St,Dayton,OH,45406,39.770088,-84.167989
4650,Wayne Ave,Dayton,OH,45402,39.766219,-84.239541
9634,Jefferson St,Dayton,OH,45403,39.754724,-84.145259
6940,5th St,Dayton,OH,45403,39.717655,-84.209541
6816,Jefferson St,Dayton,OH,45402,39.76065,-84.237382
3720,Wayne Ave,Dayton,OH,45406,39.808109,-84.229101
4611,Wayne Ave,Dayton,OH,45403,39.799108,-84.188096
5126,Main St,Dayton,OH,45402,39.753654,-84.223302
2908,Wayne Ave,Dayton,OH,45406,39.751753,-84.197165
1203,Main St,Dayton,OH,45402,39.761339,-84.15126
5760,Wayne Ave,Dayton,OH,45404,39.713333,-84.157526
2270,Wayne Ave,Dayton,OH,45405,39.733984,-84.17291
369,Main St,Dayton,OH,45403,39.72763,-84.169484
7513,Main St,Dayton,OH,45404,39.713896,-84.206159
4672,5th St,Dayton,OH,45404,39.73017,-84.222956
2518,Jefferson St,Dayton,OH,45405,39.712069,-84.209026
5521,3rd St,Dayton,OH,45405,39.738214,-84.171767
6362,Wayne Ave,Dayton,OH,45406,39.727774,-84.228595
3221,Main St,Dayton,OH,45403,39.725944,-84.21926
4184,Wayne Ave,Dayton,OH,45402,39.716583,-84.175415
4816,3rd St,Dayton,OH,45403,39.804153,-84.146742
9808,5th St,Dayton,OH,45406,39.713164,-84.240961
9927,Market St,Youngstown,OH,44507,41.138565,-80.689762
4876,Federal St,Youngstown,OH,44507,41.064531,-80.694134
335,Boardman St,Youngstown,OH,44503,41.080675,-80.653103
9060,Oak St,Youngstown,OH,44504,41.114506,-80.681873
4016,Elm St,Youngstown,OH,44507,41.135537,-80.634737
3472,Elm St,Youngstown,OH,44506,41.074874,-80.643833
7291,Boardman St,Youngstown,OH,44506,41.128474,-80.684068
6375,Elm St,Youngstown,OH,44503,41.131566,-80.660467
5822,Federal St,Youngstown,OH,44503,41.120897,-80.60943
5217,Elm St,Youngstown,OH,44505,41.13817,-80.650935
6764,Federal St,Youngstown,OH,44505,41.12607,-80.626897
1839,Boardman St,Youngstown,OH,44504,41.116419,-80.673246
5395,Elm St,Youngstown,OH,44506,41.066692,-80.657543
2364,Market St,Youngstown,OH,44505,41.062286,-80.68985
5667,Market St,Youngstown,OH,44504,41.066496,-80.660324
3230,Federal St,Youngstown,OH,44504,41.142841,-80.610186
3545,Federal St,Youngstown,OH,44507,41.124393,-80.606103
4682,Federal St,Youngstown,OH,44506,41.06388,-80.629575
7656,Boardman St,Youngstown,OH,44506,41.140746,-80.636111
3082,Boardman St,Youngstown,OH,44507,41.069116,-80.693706
8501,Federal St,Youngstown,OH,44504,41.051942,-80.608534
9154,Elm St,Youngstown,OH,44503,41.078736,-80.674988
5364,Elm St,Youngstown,OH,44506,41.082632,-80.66016
