number,street,unit,city,region,postcode,latitude,longitude,parcel_id,land_use_code,land_use_type,occupancy,owner_name,homestead,year_built,bedrooms,bathrooms,half_baths,rooms,air_conditioning,appraised_value,annual_tax,sale_price,sale_date,match_status
7397,DONALD AVE,,REYNOLDSBURG,OH,43068,39.9590122,-82.8012452,060-000452,510,SINGLE_FAMILY,OWNER_OCCUPIED,NASH GARY T TR,Y,1955,3,1,0,5,1,166700.00,2441.4,0,08/07/2007,MATCHED
7089,SHAWNEE WAY,,REYNOLDSBURG,OH,43068,39.9739712,-82.8120178,,,,,,,,,,,,,,,,,UNMATCHED
1036,HILLRIDGE RD,,REYNOLDSBURG,OH,43068,39.9624814,-82.7999046,060-000864,510,SINGLE_FAMILY,LIKELY_RENTAL,DESAMOURS ODALBERT,,1956,3,1,1,5,1,179700.00,3220.44,155000,04/13/2021,MATCHED
6810,N BURGUNDY PL,,REYNOLDSBURG,OH,43068,39.9578424,-82.8163335,,,,,,,,,,,,,,,,,UNMATCHED
7369,WOLLAM AVE,,REYNOLDSBURG,OH,43068,39.9616203,-82.802341,060-000511,510,SINGLE_FAMILY,LIKELY_RENTAL,LAUREL INVESTMENTS INC,,1956,3,1,0,7,1,164200.00,3013.24,0,09/14/2015,MATCHED
6990,CLYMER DR,,REYNOLDSBURG,OH,43068,39.9538045,-82.8103595,060-003925,510,SINGLE_FAMILY,LIKELY_RENTAL,STANTON DARA,,1963,4,2,0,8,1,213600.00,3828.2,146000,08/30/2017,MATCHED
7163,BRIARCLIFF RD,,REYNOLDSBURG,OH,43068,39.96274,-82.8071918,060-005111,599,OTHER,UNKNOWN,MCKINLEY RICHARD P,,,0,0,0,0,0,55800.00,1024.52,100000,04/23/1986,MATCHED
609,GILMORE DR,,REYNOLDSBURG,OH,43068,39.9709415,-82.8052225,060-001634,510,SINGLE_FAMILY,LIKELY_OWNER,CREIGLOW LEE A JR,,1959,3,1,0,5,1,177200.00,3175.9,84000,03/30/1999,MATCHED
532,BRIGHTSTONE DR,,REYNOLDSBURG,OH,43068,39.9730318,-82.8040712,060-006867,510,SINGLE_FAMILY,OWNER_OCCUPIED,NADER RICHARD L,Y,1986,3,2,0,6,1,285600.00,4616.14,0,07/08/2014,MATCHED
1528,DREAM CT,,REYNOLDSBURG,OH,43068,39.9539649,-82.7873382,060-008141,510,SINGLE_FAMILY,OWNER_OCCUPIED,NEOPANEY KHADGA B,Y,1998,4,2,1,8,1,314100.00,5127.12,206000,08/03/2017,MATCHED
6311,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9545302,-82.8291777,,,,,,,,,,,,,,,,,UNMATCHED
208,WHETSEL CT,,REYNOLDSBURG,OH,43068,39.9775045,-82.8251907,060-006536,510,SINGLE_FAMILY,LIKELY_OWNER,WARD SONYA L,,1983,4,2,1,8,1,270300.00,4843.98,181000,04/29/2016,MATCHED
7411,DAUGHERTY DR,,REYNOLDSBURG,OH,43068,39.9733855,-82.8030893,060-006740,510,SINGLE_FAMILY,LIKELY_OWNER,MATON ELI,,1986,3,2,0,6,1,288000.00,5160.9,0,11/13/2014,MATCHED
1211,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9586988,-82.8042707,060-001110,510,SINGLE_FAMILY,OWNER_OCCUPIED,ZIEGLER MARLIN D,Y,1962,3,1,1,7,1,186600.00,2842.06,20000,12/21/1988,MATCHED
1221,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9584539,-82.8040783,060-000169,510,SINGLE_FAMILY,LIKELY_OWNER,VECERKA ABIGAEL,,1900,3,2,0,7,1,235800.00,4238.28,225000,09/22/2022,MATCHED
6946,BLACKOAK DR,,REYNOLDSBURG,OH,43068,39.9701391,-82.8151969,060-004328,510,SINGLE_FAMILY,LIKELY_OWNER,BLACK DAVID ROY TR,,1978,4,1,1,7,1,228700.00,4098.52,0,07/15/2021,MATCHED
1187,WOODWIND DR,,REYNOLDSBURG,OH,43068,39.9567912,-82.8280505,,,,,,,,,,,,,,,,,UNMATCHED
6939,WIND RIVER DR,,REYNOLDSBURG,OH,43068,39.9691701,-82.8153808,060-004375,510,SINGLE_FAMILY,LIKELY_RENTAL,SISLER JAMES,,1983,3,1,0,5,1,190700.00,3417.58,78500,10/04/1995,MATCHED
908,NOYES DR,,REYNOLDSBURG,OH,43068,39.9676363,-82.7826751,060-003771,510,SINGLE_FAMILY,LIKELY_OWNER,LAVARD MANEL,,1978,4,2,1,8,1,274100.00,4912.08,203000,07/31/2019,MATCHED
6879,ARDELLE DR,,REYNOLDSBURG,OH,43068,39.9584868,-82.8145947,060-002840,510,SINGLE_FAMILY,LIKELY_OWNER,MICHAEL MARIAM,,1967,3,1,1,7,1,189200.00,3390.42,97500,12/24/2014,MATCHED
838,LANCASTER AVE,,REYNOLDSBURG,OH,43068,39.9661179,-82.8069062,060-000563,510,SINGLE_FAMILY,LIKELY_RENTAL,ROBERTS BODO H,,1957,3,1,0,5,1,178100.00,3191.76,0,09/04/1998,MATCHED
902,PLEASANT DR,,REYNOLDSBURG,OH,43068,39.9651702,-82.8006123,060-000897,510,SINGLE_FAMILY,LIKELY_OWNER,MORALES GUERRERO HERBERT A,,1957,3,2,0,6,1,258300.00,4628.96,196000,12/11/2020,MATCHED
7107,E MAIN ST,,REYNOLDSBURG,OH,43068,39.9548267,-82.8079407,060-000948,420,COMMERCIAL,LIKELY_RENTAL,IAS AND ANAS INC,,,0,0,0,0,0,157500.00,5664.54,0,12/16/2019,MATCHED
8033,SLATE PARK AVE,,REYNOLDSBURG,OH,43068,39.9677146,-82.7858485,060-008697,510,SINGLE_FAMILY,LIKELY_OWNER,VELDERRAIN-CARRILLO JONATHAN,,2003,4,3,1,8,1,426800.00,7648.2,327500,09/02/2020,MATCHED
8072,JONSON CT,,REYNOLDSBURG,OH,43068,39.9619775,-82.7834632,060-003651,510,SINGLE_FAMILY,LIKELY_RENTAL,SHANAHAN CHRISTOPHER J JR,,1973,3,1,1,7,1,209400.00,3752.92,160000,07/14/2017,MATCHED
6564,RED FOX RD,,REYNOLDSBURG,OH,43068,39.9641455,-82.82378,060-003414,510,SINGLE_FAMILY,LIKELY_OWNER,DUCKWALL TIMOTHY J,,1962,4,2,1,7,1,246300.00,4413.92,0,10/04/2019,MATCHED
